SCENARIO_ID,VARIANT_ID,VARIANT_NUMBER,NOISE_LEVEL,ATTACK_SPEED,ENTRY_CONTEXT,EXPECTED_BLAST_RADIUS
SCN001,SCN001-V01,1,Medium,Moderate,Internal,Single host
SCN001,SCN001-V02,2,Low,Fast,External,Cross-zone
SCN001,SCN001-V03,3,High,Fast,Compromised Partner,2-3 hosts
SCN001,SCN001-V04,4,Low,Moderate,Internal,Department
SCN002,SCN002-V01,1,High,Moderate,Internal,Single host
SCN002,SCN002-V02,2,Low,Moderate,Internal,Single host
SCN002,SCN002-V03,3,High,Moderate,Internal,Single host
SCN002,SCN002-V04,4,Medium,Moderate,Internal,Cross-zone
SCN003,SCN003-V01,1,High,Slow,Compromised Partner,2-3 hosts
SCN003,SCN003-V02,2,Medium,Fast,Internal,Cross-zone
SCN003,SCN003-V03,3,Medium,Fast,Internal,Department
SCN003,SCN003-V04,4,High,Slow,Internal,2-3 hosts
SCN004,SCN004-V01,1,Medium,Fast,Compromised Partner,Single host
SCN004,SCN004-V02,2,Medium,Slow,Compromised Partner,Single host
SCN004,SCN004-V03,3,Low,Slow,Internal,2-3 hosts
SCN004,SCN004-V04,4,Medium,Fast,External,Department
SCN005,SCN005-V01,1,Medium,Moderate,External,Cross-zone
SCN005,SCN005-V02,2,Medium,Moderate,Internal,Department
SCN005,SCN005-V03,3,Medium,Moderate,External,Cross-zone
SCN005,SCN005-V04,4,Low,Slow,Compromised Partner,Single host
SCN006,SCN006-V01,1,Medium,Fast,Compromised Partner,Single host
SCN006,SCN006-V02,2,High,Fast,External,2-3 hosts
SCN006,SCN006-V03,3,Low,Fast,Compromised Partner,2-3 hosts
SCN006,SCN006-V04,4,Low,Fast,Internal,Single host
SCN007,SCN007-V01,1,High,Fast,Internal,Department
SCN007,SCN007-V02,2,Medium,Fast,Compromised Partner,Single host
SCN007,SCN007-V03,3,Low,Moderate,External,Single host
SCN007,SCN007-V04,4,Medium,Slow,Compromised Partner,Cross-zone
SCN008,SCN008-V01,1,Medium,Slow,External,Single host
SCN008,SCN008-V02,2,High,Slow,Compromised Partner,2-3 hosts
SCN008,SCN008-V03,3,Low,Slow,Internal,Single host
SCN008,SCN008-V04,4,High,Fast,Internal,Cross-zone
SCN009,SCN009-V01,1,High,Moderate,External,Department
SCN009,SCN009-V02,2,Low,Moderate,Internal,Single host
SCN009,SCN009-V03,3,Medium,Moderate,Compromised Partner,Cross-zone
SCN009,SCN009-V04,4,High,Fast,Internal,2-3 hosts
SCN010,SCN010-V01,1,High,Slow,Compromised Partner,Department
SCN010,SCN010-V02,2,High,Slow,Internal,Cross-zone
SCN010,SCN010-V03,3,Medium,Slow,Compromised Partner,Department
SCN010,SCN010-V04,4,Medium,Fast,External,Department
SCN011,SCN011-V01,1,Medium,Fast,Internal,Cross-zone
SCN011,SCN011-V02,2,Medium,Fast,Internal,Department
SCN011,SCN011-V03,3,Low,Moderate,External,Department
SCN011,SCN011-V04,4,Medium,Moderate,Internal,Department
SCN012,SCN012-V01,1,High,Fast,Compromised Partner,2-3 hosts
SCN012,SCN012-V02,2,Low,Fast,Compromised Partner,Cross-zone
SCN012,SCN012-V03,3,Medium,Slow,External,Cross-zone
SCN012,SCN012-V04,4,High,Slow,Internal,Cross-zone
SCN013,SCN013-V01,1,Low,Fast,Internal,2-3 hosts
SCN013,SCN013-V02,2,Medium,Slow,External,Department
SCN013,SCN013-V03,3,High,Slow,Internal,Cross-zone
SCN013,SCN013-V04,4,High,Slow,Internal,Cross-zone
SCN014,SCN014-V01,1,High,Slow,Internal,Department
SCN014,SCN014-V02,2,High,Moderate,Internal,Department
SCN014,SCN014-V03,3,Medium,Fast,External,2-3 hosts
SCN014,SCN014-V04,4,Medium,Fast,Compromised Partner,2-3 hosts
SCN015,SCN015-V01,1,Low,Fast,Compromised Partner,Cross-zone
SCN015,SCN015-V02,2,Medium,Slow,Compromised Partner,Department
SCN015,SCN015-V03,3,Low,Fast,Internal,2-3 hosts
SCN015,SCN015-V04,4,Medium,Fast,Internal,Single host
SCN016,SCN016-V01,1,High,Slow,External,Department
SCN016,SCN016-V02,2,Low,Fast,Compromised Partner,Department
SCN016,SCN016-V03,3,High,Fast,Compromised Partner,Cross-zone
SCN016,SCN016-V04,4,Low,Fast,Compromised Partner,Department
SCN017,SCN017-V01,1,Medium,Moderate,Internal,Department
SCN017,SCN017-V02,2,Low,Fast,Internal,Cross-zone
SCN017,SCN017-V03,3,Low,Fast,Internal,Cross-zone
SCN017,SCN017-V04,4,Low,Slow,Compromised Partner,Single host
SCN018,SCN018-V01,1,Low,Fast,Compromised Partner,Department
SCN018,SCN018-V02,2,Low,Fast,External,Cross-zone
SCN018,SCN018-V03,3,High,Slow,Compromised Partner,2-3 hosts
SCN018,SCN018-V04,4,High,Moderate,Internal,Cross-zone
SCN019,SCN019-V01,1,Medium,Slow,Internal,Department
SCN019,SCN019-V02,2,High,Slow,External,Single host
SCN019,SCN019-V03,3,Low,Slow,External,Department
SCN019,SCN019-V04,4,High,Fast,External,2-3 hosts
SCN020,SCN020-V01,1,Low,Slow,External,2-3 hosts
SCN020,SCN020-V02,2,Low,Moderate,Internal,Cross-zone
SCN020,SCN020-V03,3,Medium,Fast,External,Department
SCN020,SCN020-V04,4,High,Moderate,Compromised Partner,Cross-zone
SCN021,SCN021-V01,1,Low,Slow,External,Department
SCN021,SCN021-V02,2,High,Slow,Compromised Partner,2-3 hosts
SCN021,SCN021-V03,3,Medium,Fast,Compromised Partner,2-3 hosts
SCN021,SCN021-V04,4,High,Fast,Internal,2-3 hosts
SCN022,SCN022-V01,1,Low,Fast,External,Department
SCN022,SCN022-V02,2,High,Slow,Compromised Partner,Department
SCN022,SCN022-V03,3,Medium,Fast,Internal,Department
SCN022,SCN022-V04,4,High,Moderate,Internal,Cross-zone
SCN023,SCN023-V01,1,Medium,Fast,Compromised Partner,Single host
SCN023,SCN023-V02,2,Medium,Slow,Internal,Department
SCN023,SCN023-V03,3,Low,Fast,External,Single host
SCN023,SCN023-V04,4,High,Moderate,Compromised Partner,Single host
SCN024,SCN024-V01,1,Low,Moderate,Compromised Partner,Cross-zone
SCN024,SCN024-V02,2,Medium,Fast,Compromised Partner,Cross-zone
SCN024,SCN024-V03,3,High,Moderate,External,Cross-zone
