EVENT_ID,TIMESTAMP,SECTOR,DEPARTMENT,SOURCE_ASSET,DESTINATION_ASSET,SOURCE_IP,DESTINATION_IP,SOURCE_PORT,DESTINATION_PORT,PROTOCOL,BYTES_SENT,BYTES_RECEIVED,PACKETS_SENT,PACKETS_RECEIVED,FLOW_DURATION_SEC,CONNECTION_FREQUENCY,UNIQUE_DESTINATIONS,UNIQUE_PORTS,DNS_DOMAIN,DNS_FREQUENCY,DOMAIN_NOVELTY,USER_ID,AUTHENTICATION_TYPE,AUTHENTICATION_RESULT,FAILED_LOGIN_COUNT,PROCESS_NAME,FILE_ACTIVITY,ASSET_TYPE,ASSET_CRITICALITY,ASSET_ZONE,ASSET_OWNER,VULNERABILITY_SCORE,INTERNET_EXPOSURE,PREVIOUS_ATTACK_STAGE,CURRENT_ATTACK_STAGE,NEXT_ATTACK_STAGE,ATTACK_TYPE,MITRE_TECHNIQUE,LABEL,BYTES_PER_SEC,PACKETS_PER_SEC,AUTH_FAILURE_RATE,TRAFFIC_BURST_SCORE,TARGET_NOVELTY_SCORE,CRITICALITY_SCORE,BLAST_RADIUS_PROXY
N-07-00000,2026-01-21T00:55:09,Government Financial Systems,DEPT-07,S07-MON01,S07-VPN01,10.2.72.63,10.3.73.249,22,443,UDP,25475,59906,404,299,48.37,5,5,4,internal.gov.local,1,Yes,USR-003,SSO,Success,0,nginx,19,High,Internal,OWNER-07,2.0,No,None,Normal,Normal,Normal,Normal,None,Normal,1765.164358073186,14.53380194335332,0.0,0.703,14,2.0,13.0
N-07-00001,2026-01-01T23:43:18,Government Financial Systems,DEPT-07,S07-DB01,S07-MON01,10.2.72.208,10.3.73.111,443,443,TCP,45057,18614,46,458,117.77,5,5,3,monitor.local,5,No,USR-080,SSO,Success,2,nginx,10,Critical,Internal,OWNER-07,7.3,No,None,Normal,Normal,Normal,Normal,None,Normal,540.6385327332937,4.279527893351448,0.6666666666666666,0.504,8,2.0,12.0
N-07-00002,2026-01-15T14:08:13,Government Financial Systems,DEPT-07,S07-APP01,S07-DB01,10.2.72.2,10.3.73.59,80,22,TCP,20756,8625,43,306,101.13,6,3,1,service.local,2,No,USR-067,Password,Success,1,powershell,16,High,DMZ,OWNER-07,8.7,Yes,None,Normal,Normal,Normal,Normal,None,Normal,290.5270443982992,3.451003658657174,0.5,0.349,4,2.0,8.0
N-07-00003,2026-01-08T05:43:00,Government Financial Systems,DEPT-07,S07-MGMT01,S07-MON01,10.2.72.5,10.3.73.19,22,443,UDP,47974,64741,34,322,52.87,2,1,2,internal.gov.local,5,No,USR-007,Certificate,Success,2,java,14,Critical,Internal,OWNER-07,4.7,No,None,Normal,Normal,Normal,Normal,None,Normal,2131.927369018347,6.7334972574238705,0.6666666666666666,0.356,3,2.0,7.0
N-07-00004,2026-01-04T15:22:13,Government Financial Systems,DEPT-07,S07-MON01,S07-AUTH01,10.2.72.188,10.3.73.190,80,443,TCP,47213,42455,228,202,93.87,3,3,4,monitor.local,5,No,USR-063,SSO,Success,2,java,0,High,Internal,OWNER-07,2.0,No,None,Normal,Normal,Normal,Normal,None,Normal,955.2359646319377,4.5808032385213595,0.6666666666666666,0.43,7,2.0,11.0
N-07-00005,2026-01-02T08:55:59,Government Financial Systems,DEPT-07,S07-WS01,S07-CTRL01,10.2.72.171,10.3.73.15,22,443,UDP,26670,63236,33,107,0.72,1,1,4,internal.gov.local,5,No,USR-046,Password,Success,2,powershell,5,Medium,Internal,OWNER-07,7.9,No,None,Normal,Normal,Normal,Normal,None,Normal,124869.44444444445,194.44444444444446,0.6666666666666666,0.14,5,2.0,9.0
N-07-00006,2026-01-12T00:31:23,Government Financial Systems,DEPT-07,S07-MON01,S07-CTRL01,10.2.72.240,10.3.73.17,22,80,TCP,20310,67611,327,269,51.42,3,4,4,internal.gov.local,1,No,USR-019,Password,Success,2,svchost,11,High,Internal,OWNER-07,2.0,No,None,Normal,Normal,Normal,Normal,None,Normal,1709.8599766627772,11.590820692337612,0.6666666666666666,0.596,8,2.0,12.0
N-07-00007,2026-01-14T11:33:28,Government Financial Systems,DEPT-07,S07-DB01,S07-WS01,10.2.72.46,10.3.73.81,80,22,UDP,12404,69734,154,162,54.52,8,3,4,monitor.local,3,No,USR-050,SSO,Success,2,python,3,Critical,Internal,OWNER-07,7.3,No,None,Normal,Normal,Normal,Normal,None,Normal,1506.5663976522376,5.796038151137197,0.6666666666666666,0.316,7,2.0,11.0
N-07-00008,2026-01-21T00:47:05,Government Financial Systems,DEPT-07,S07-WS01,S07-MON01,10.2.72.199,10.3.73.116,443,22,UDP,19894,28262,431,377,99.85,2,1,3,monitor.local,5,No,USR-054,Password,Success,1,powershell,5,Medium,Internal,OWNER-07,7.9,No,None,Normal,Normal,Normal,Normal,None,Normal,482.2834251377066,8.092138207310967,0.5,0.808,4,2.0,8.0
N-07-00009,2026-01-04T21:59:43,Government Financial Systems,DEPT-07,S07-GW01,S07-MGMT01,10.2.72.247,10.3.73.242,22,5432,UDP,24069,19605,51,305,70.36,7,4,2,monitor.local,2,No,USR-052,Password,Success,2,python,15,High,DMZ,OWNER-07,6.1,Yes,None,Normal,Normal,Normal,Normal,None,Normal,620.7220011370097,5.059693007390563,0.6666666666666666,0.356,6,2.0,10.0
N-07-00010,2026-01-17T07:15:59,Government Financial Systems,DEPT-07,S07-GW01,S07-AUTH01,10.2.72.61,10.3.73.85,22,443,UDP,48975,18260,241,194,13.47,5,5,1,service.local,3,No,USR-009,Certificate,Success,1,powershell,5,High,DMZ,OWNER-07,6.1,Yes,None,Normal,Normal,Normal,Normal,None,Normal,4991.462509279881,32.29398663697105,0.5,0.435,6,2.0,10.0
N-07-00011,2026-01-14T15:38:23,Government Financial Systems,DEPT-07,S07-CTRL01,S07-MON01,10.2.72.79,10.3.73.88,22,443,UDP,45657,45927,279,543,29.5,8,4,2,internal.gov.local,5,No,USR-013,Password,Success,2,svchost,19,Critical,OT,OWNER-07,9.6,No,None,Normal,Normal,Normal,Normal,None,Normal,3104.5423728813557,27.864406779661017,0.6666666666666666,0.822,6,2.0,10.0
N-07-00012,2026-01-07T02:50:56,Government Financial Systems,DEPT-07,S07-VPN01,S07-GW01,10.2.72.50,10.3.73.33,22,22,UDP,38708,40093,189,384,4.51,8,1,2,auth.local,4,No,USR-069,Certificate,Success,2,powershell,19,High,DMZ,OWNER-07,8.8,Yes,None,Normal,Normal,Normal,Normal,None,Normal,17472.50554323725,127.05099778270511,0.6666666666666666,0.573,3,2.0,7.0
N-07-00013,2026-01-17T06:17:10,Government Financial Systems,DEPT-07,S07-MON01,S07-APP01,10.2.72.13,10.3.73.57,53,53,TCP,26553,60598,490,36,29.41,8,5,4,service.local,3,Yes,USR-025,SSO,Success,2,svchost,8,High,Internal,OWNER-07,2.0,No,None,Normal,Normal,Normal,Normal,None,Normal,2963.3117987079227,17.88507310438626,0.6666666666666666,0.526,14,2.0,13.0
N-07-00014,2026-01-01T14:54:26,Government Financial Systems,DEPT-07,S07-AUTH01,S07-BKP01,10.2.72.113,10.3.73.194,8080,443,UDP,26770,49556,316,534,66.36,1,5,3,auth.local,1,No,USR-045,Password,Success,1,powershell,0,Critical,Internal,OWNER-07,7.3,No,None,Normal,Normal,Normal,Normal,None,Normal,1150.1808318264013,12.808921036769139,0.5,0.85,8,2.0,12.0
N-07-00015,2026-01-10T09:32:42,Government Financial Systems,DEPT-07,S07-GW01,S07-VPN01,10.2.72.167,10.3.73.94,8080,80,UDP,7798,26891,333,421,81.61,4,3,1,service.local,1,Yes,USR-053,Certificate,Success,2,powershell,2,High,DMZ,OWNER-07,6.1,Yes,None,Normal,Normal,Normal,Normal,None,Normal,425.0582036515133,9.23906384021566,0.6666666666666666,0.754,9,2.0,8.0
N-07-00016,2026-01-08T14:06:42,Government Financial Systems,DEPT-07,S07-VPN01,S07-AUTH01,10.2.72.75,10.3.73.30,22,443,UDP,26218,67821,36,111,34.58,5,2,3,auth.local,5,No,USR-069,Certificate,Success,1,python,12,High,DMZ,OWNER-07,8.8,Yes,None,Normal,Normal,Normal,Normal,None,Normal,2719.462116830538,4.251012145748988,0.5,0.147,5,2.0,9.0
N-07-00017,2026-01-02T16:42:14,Government Financial Systems,DEPT-07,S07-DB01,S07-WS01,10.2.72.117,10.3.73.162,80,80,TCP,35423,16600,6,252,18.89,4,4,1,auth.local,2,Yes,USR-058,SSO,Success,2,python,2,Critical,Internal,OWNER-07,7.3,No,None,Normal,Normal,Normal,Normal,None,Normal,2753.996823716252,13.658020116463737,0.6666666666666666,0.258,10,2.0,9.0
N-07-00018,2026-01-02T13:26:37,Government Financial Systems,DEPT-07,S07-BKP01,S07-DB01,10.2.72.3,10.3.73.39,53,80,UDP,24535,66464,377,367,32.35,2,2,1,internal.gov.local,1,Yes,USR-014,SSO,Success,2,svchost,12,Critical,Internal,OWNER-07,5.4,No,None,Normal,Normal,Normal,Normal,None,Normal,2812.9520865533227,22.998454404945903,0.6666666666666666,0.744,8,2.0,7.0
N-07-00019,2026-01-12T03:07:54,Government Financial Systems,DEPT-07,S07-WS01,S07-DB01,10.2.72.62,10.3.73.146,443,5432,UDP,41036,37644,421,329,52.3,5,4,3,auth.local,2,No,USR-016,Certificate,Success,2,svchost,0,Medium,Internal,OWNER-07,7.9,No,None,Normal,Normal,Normal,Normal,None,Normal,1504.3977055449332,14.340344168260039,0.6666666666666666,0.75,7,2.0,11.0
N-07-00020,2026-01-04T19:55:19,Government Financial Systems,DEPT-07,S07-WS01,S07-DB01,10.2.72.179,10.3.73.86,8080,80,UDP,33295,33893,410,545,0.3,5,2,3,internal.gov.local,3,No,USR-016,Certificate,Success,0,java,5,Medium,Internal,OWNER-07,7.9,No,None,Normal,Normal,Normal,Normal,None,Normal,223960.0,3183.3333333333335,0.0,0.955,5,2.0,9.0
N-07-00021,2026-01-13T12:35:11,Government Financial Systems,DEPT-07,S07-MON01,S07-AUTH01,10.2.72.93,10.3.73.22,80,22,TCP,32213,23192,273,206,119.95,4,3,4,auth.local,2,No,USR-069,SSO,Success,0,powershell,20,High,Internal,OWNER-07,2.0,No,None,Normal,Normal,Normal,Normal,None,Normal,461.90079199666525,3.993330554397666,0.0,0.479,7,2.0,11.0
