EVENT_ID,TIMESTAMP,SECTOR,SOURCE_ASSET,PROCESS_NAME,FILE_ACTIVITY,CURRENT_ATTACK_STAGE,LABEL
N-01-00000,2026-01-06T23:35:55,Government Data Centres,S01-CTRL01,powershell,1,Normal,Normal
N-01-00001,2026-01-12T14:16:38,Government Data Centres,S01-GW01,nginx,12,Normal,Normal
N-01-00002,2026-01-18T17:27:35,Government Data Centres,S01-VPN01,nginx,4,Normal,Normal
N-01-00003,2026-01-13T03:37:29,Government Data Centres,S01-MGMT01,powershell,3,Normal,Normal
N-01-00004,2026-01-19T11:08:57,Government Data Centres,S01-BKP01,java,0,Normal,Normal
N-01-00005,2026-01-10T20:42:09,Government Data Centres,S01-MON01,powershell,20,Normal,Normal
N-01-00006,2026-01-05T17:00:15,Government Data Centres,S01-WS01,powershell,1,Normal,Normal
N-01-00007,2026-01-09T05:09:59,Government Data Centres,S01-WS01,svchost,10,Normal,Normal
N-01-00008,2026-01-16T20:01:49,Government Data Centres,S01-MON01,nginx,5,Normal,Normal
N-01-00009,2026-01-02T03:50:53,Government Data Centres,S01-BKP01,powershell,5,Normal,Normal
N-01-00010,2026-01-17T16:27:11,Government Data Centres,S01-MON01,powershell,12,Normal,Normal
N-01-00011,2026-01-18T11:39:17,Government Data Centres,S01-DB01,powershell,19,Normal,Normal
N-01-00012,2026-01-04T08:56:30,Government Data Centres,S01-DB01,nginx,17,Normal,Normal
N-01-00013,2026-01-14T08:46:34,Government Data Centres,S01-VPN01,python,14,Normal,Normal
N-01-00014,2026-01-10T08:14:16,Government Data Centres,S01-WS01,svchost,11,Normal,Normal
N-01-00015,2026-01-21T02:55:58,Government Data Centres,S01-BKP01,python,13,Normal,Normal
N-01-00016,2026-01-20T01:39:14,Government Data Centres,S01-VPN01,nginx,7,Normal,Normal
N-01-00017,2026-01-11T07:43:14,Government Data Centres,S01-GW01,java,20,Normal,Normal
N-01-00018,2026-01-12T14:40:03,Government Data Centres,S01-BKP01,python,13,Normal,Normal
N-01-00019,2026-01-13T09:26:08,Government Data Centres,S01-BKP01,nginx,6,Normal,Normal
N-01-00020,2026-01-06T06:31:30,Government Data Centres,S01-CTRL01,python,20,Normal,Normal
N-01-00021,2026-01-07T06:50:23,Government Data Centres,S01-MGMT01,python,18,Normal,Normal
N-01-00022,2026-01-08T01:12:09,Government Data Centres,S01-CTRL01,python,20,Normal,Normal
N-01-00023,2026-01-02T02:28:53,Government Data Centres,S01-GW01,svchost,0,Normal,Normal
N-01-00024,2026-01-17T18:24:17,Government Data Centres,S01-GW01,svchost,18,Normal,Normal
N-01-00025,2026-01-08T03:49:43,Government Data Centres,S01-DB01,nginx,7,Normal,Normal
N-01-00026,2026-01-07T12:03:02,Government Data Centres,S01-DB01,python,10,Normal,Normal
N-01-00027,2026-01-19T07:43:44,Government Data Centres,S01-BKP01,svchost,13,Normal,Normal
N-01-00028,2026-01-03T06:48:49,Government Data Centres,S01-AUTH01,nginx,4,Normal,Normal
N-01-00029,2026-01-11T03:22:28,Government Data Centres,S01-APP01,java,18,Normal,Normal
N-01-00030,2026-01-16T22:16:24,Government Data Centres,S01-VPN01,svchost,19,Normal,Normal
N-01-00031,2026-01-11T18:03:06,Government Data Centres,S01-CTRL01,svchost,10,Normal,Normal
N-01-00032,2026-01-14T10:30:50,Government Data Centres,S01-WS01,svchost,15,Normal,Normal
N-01-00033,2026-01-06T20:10:16,Government Data Centres,S01-AUTH01,powershell,5,Normal,Normal
N-01-00034,2026-01-14T03:35:41,Government Data Centres,S01-CTRL01,nginx,9,Normal,Normal
N-01-00035,2026-01-03T23:23:53,Government Data Centres,S01-BKP01,nginx,0,Normal,Normal
N-01-00036,2026-01-16T17:48:51,Government Data Centres,S01-MGMT01,python,6,Normal,Normal
N-01-00037,2026-01-10T04:21:00,Government Data Centres,S01-MON01,python,12,Normal,Normal
N-01-00038,2026-01-14T16:34:07,Government Data Centres,S01-CTRL01,python,12,Normal,Normal
N-01-00039,2026-01-14T09:55:24,Government Data Centres,S01-BKP01,python,16,Normal,Normal
N-01-00040,2026-01-16T21:56:31,Government Data Centres,S01-MON01,python,3,Normal,Normal
N-01-00041,2026-01-20T01:37:23,Government Data Centres,S01-WS01,python,11,Normal,Normal
N-01-00042,2026-01-05T02:38:39,Government Data Centres,S01-CTRL01,java,13,Normal,Normal
N-01-00043,2026-01-21T01:31:41,Government Data Centres,S01-GW01,nginx,12,Normal,Normal
N-01-00044,2026-01-17T03:24:59,Government Data Centres,S01-VPN01,powershell,9,Normal,Normal
N-01-00045,2026-01-14T11:37:08,Government Data Centres,S01-MGMT01,java,8,Normal,Normal
N-01-00046,2026-01-07T00:44:05,Government Data Centres,S01-APP01,python,14,Normal,Normal
N-01-00047,2026-01-17T03:53:21,Government Data Centres,S01-GW01,java,2,Normal,Normal
N-01-00048,2026-01-15T05:18:41,Government Data Centres,S01-VPN01,powershell,20,Normal,Normal
N-01-00049,2026-01-13T22:13:38,Government Data Centres,S01-APP01,svchost,20,Normal,Normal
N-01-00050,2026-01-13T08:30:56,Government Data Centres,S01-CTRL01,svchost,16,Normal,Normal
N-01-00051,2026-01-18T18:56:26,Government Data Centres,S01-WS01,java,1,Normal,Normal
N-01-00052,2026-01-11T05:17:07,Government Data Centres,S01-DB01,powershell,3,Normal,Normal
N-01-00053,2026-01-19T16:47:27,Government Data Centres,S01-GW01,nginx,1,Normal,Normal
N-01-00054,2026-01-02T09:06:30,Government Data Centres,S01-GW01,nginx,12,Normal,Normal
N-01-00055,2026-01-21T00:58:18,Government Data Centres,S01-APP01,java,4,Normal,Normal
N-01-00056,2026-01-01T21:03:14,Government Data Centres,S01-GW01,python,13,Normal,Normal
N-01-00057,2026-01-18T08:27:05,Government Data Centres,S01-MGMT01,java,4,Normal,Normal
N-01-00058,2026-01-04T20:52:06,Government Data Centres,S01-CTRL01,powershell,4,Normal,Normal
