EVENT_ID,TIMESTAMP,SECTOR,DEPARTMENT,SOURCE_ASSET,DESTINATION_ASSET,SOURCE_IP,DESTINATION_IP,SOURCE_PORT,DESTINATION_PORT,PROTOCOL,BYTES_SENT,BYTES_RECEIVED,PACKETS_SENT,PACKETS_RECEIVED,FLOW_DURATION_SEC,CONNECTION_FREQUENCY,UNIQUE_DESTINATIONS,UNIQUE_PORTS,DNS_DOMAIN,DNS_FREQUENCY,DOMAIN_NOVELTY,USER_ID,AUTHENTICATION_TYPE,AUTHENTICATION_RESULT,FAILED_LOGIN_COUNT,PROCESS_NAME,FILE_ACTIVITY,ASSET_TYPE,ASSET_CRITICALITY,ASSET_ZONE,ASSET_OWNER,VULNERABILITY_SCORE,INTERNET_EXPOSURE,PREVIOUS_ATTACK_STAGE,CURRENT_ATTACK_STAGE,NEXT_ATTACK_STAGE,ATTACK_TYPE,MITRE_TECHNIQUE,LABEL,BYTES_PER_SEC,PACKETS_PER_SEC,AUTH_FAILURE_RATE,TRAFFIC_BURST_SCORE,TARGET_NOVELTY_SCORE,CRITICALITY_SCORE,BLAST_RADIUS_PROXY
N-05-00000,2026-01-13T06:20:37,Airports,DEPT-05,S05-APP01,S05-VPN01,10.2.52.206,10.3.53.92,80,53,UDP,37916,226,328,202,3.76,1,3,3,internal.gov.local,2,Yes,USR-079,Certificate,Success,2,nginx,13,High,DMZ,OWNER-05,3.8,Yes,None,Normal,Normal,Normal,Normal,None,Normal,10144.148936170213,140.95744680851064,0.6666666666666666,0.53,11,2.0,10.0
N-05-00001,2026-01-10T04:04:04,Airports,DEPT-05,S05-MON01,S05-APP01,10.2.52.65,10.3.53.125,443,443,TCP,6598,3229,363,456,24.26,6,3,2,monitor.local,5,No,USR-048,Certificate,Success,0,java,14,High,Internal,OWNER-05,5.1,No,None,Normal,Normal,Normal,Normal,None,Normal,405.0700741962077,33.75927452596867,0.0,0.819,5,2.0,9.0
N-05-00002,2026-01-09T18:14:57,Airports,DEPT-05,S05-APP01,S05-GW01,10.2.52.170,10.3.53.181,80,5432,TCP,20416,58665,496,477,65.52,5,1,3,monitor.local,4,Yes,USR-067,Password,Success,2,svchost,17,High,DMZ,OWNER-05,3.8,Yes,None,Normal,Normal,Normal,Normal,None,Normal,1206.9749694749696,14.850427350427351,0.6666666666666666,0.973,9,2.0,8.0
N-05-00003,2026-01-10T14:24:08,Airports,DEPT-05,S05-WS01,S05-VPN01,10.2.52.88,10.3.53.180,8080,5432,UDP,29694,21880,386,256,23.73,7,1,4,internal.gov.local,4,Yes,USR-011,Password,Success,2,java,1,Medium,Internal,OWNER-05,9.1,No,None,Normal,Normal,Normal,Normal,None,Normal,2173.3670459334176,27.054361567635905,0.6666666666666666,0.642,10,2.0,9.0
N-05-00004,2026-01-13T11:50:27,Airports,DEPT-05,S05-DB01,S05-VPN01,10.2.52.68,10.3.53.30,443,5432,UDP,29871,35606,243,81,54.98,4,5,4,auth.local,5,Yes,USR-069,SSO,Success,0,python,5,Critical,Internal,OWNER-05,4.1,No,None,Normal,Normal,Normal,Normal,None,Normal,1190.9239723535832,5.89305201891597,0.0,0.324,14,2.0,13.0
N-05-00005,2026-01-14T21:47:34,Airports,DEPT-05,S05-WS01,S05-MON01,10.2.52.115,10.3.53.25,53,5432,UDP,23169,8923,446,231,10.3,8,4,2,internal.gov.local,3,No,USR-069,Password,Success,1,python,0,Medium,Internal,OWNER-05,9.1,No,None,Normal,Normal,Normal,Normal,None,Normal,3115.7281553398057,65.72815533980582,0.5,0.677,6,2.0,10.0
N-05-00006,2026-01-10T13:47:40,Airports,DEPT-05,S05-WS01,S05-DB01,10.2.52.26,10.3.53.191,80,5432,TCP,46783,42924,357,122,81.41,4,5,3,auth.local,1,No,USR-070,SSO,Success,2,python,18,Medium,Internal,OWNER-05,9.1,No,None,Normal,Normal,Normal,Normal,None,Normal,1101.9162265078,5.883798059206486,0.6666666666666666,0.479,8,2.0,12.0
N-05-00007,2026-01-18T15:21:00,Airports,DEPT-05,S05-APP01,S05-WS01,10.2.52.130,10.3.53.243,8080,5432,TCP,49189,65410,320,105,94.22,6,5,4,service.local,3,No,USR-038,Password,Success,0,svchost,15,High,DMZ,OWNER-05,3.8,Yes,None,Normal,Normal,Normal,Normal,None,Normal,1216.2916578221184,4.510719592443218,0.0,0.425,9,2.0,13.0
N-05-00008,2026-01-10T07:49:59,Airports,DEPT-05,S05-WS01,S05-APP01,10.2.52.127,10.3.53.31,80,80,TCP,14241,65581,315,401,63.79,8,5,4,service.local,3,No,USR-064,Password,Success,1,java,13,Medium,Internal,OWNER-05,9.1,No,None,Normal,Normal,Normal,Normal,None,Normal,1251.3246590374667,11.22432983226211,0.5,0.716,9,2.0,13.0
N-05-00009,2026-01-04T05:11:12,Airports,DEPT-05,S05-MON01,S05-MGMT01,10.2.52.189,10.3.53.187,22,53,TCP,30793,13379,10,525,81.83,8,2,2,auth.local,4,No,USR-025,Certificate,Success,2,nginx,17,High,Internal,OWNER-05,5.1,No,None,Normal,Normal,Normal,Normal,None,Normal,539.8020285958695,6.537944519125015,0.6666666666666666,0.535,4,2.0,8.0
