EVENT_ID,TIMESTAMP,SECTOR,DEPARTMENT,SOURCE_ASSET,DESTINATION_ASSET,SOURCE_IP,DESTINATION_IP,SOURCE_PORT,DESTINATION_PORT,PROTOCOL,BYTES_SENT,BYTES_RECEIVED,PACKETS_SENT,PACKETS_RECEIVED,FLOW_DURATION_SEC,CONNECTION_FREQUENCY,UNIQUE_DESTINATIONS,UNIQUE_PORTS,DNS_DOMAIN,DNS_FREQUENCY,DOMAIN_NOVELTY,USER_ID,AUTHENTICATION_TYPE,AUTHENTICATION_RESULT,FAILED_LOGIN_COUNT,PROCESS_NAME,FILE_ACTIVITY,ASSET_TYPE,ASSET_CRITICALITY,ASSET_ZONE,ASSET_OWNER,VULNERABILITY_SCORE,INTERNET_EXPOSURE,PREVIOUS_ATTACK_STAGE,CURRENT_ATTACK_STAGE,NEXT_ATTACK_STAGE,ATTACK_TYPE,MITRE_TECHNIQUE,LABEL,BYTES_PER_SEC,PACKETS_PER_SEC,AUTH_FAILURE_RATE,TRAFFIC_BURST_SCORE,TARGET_NOVELTY_SCORE,CRITICALITY_SCORE,BLAST_RADIUS_PROXY,DATA_SPLIT
N-01-00000,2026-01-06T23:35:55,Government Data Centres,DEPT-01,S01-CTRL01,S01-BKP01,10.2.12.232,10.3.13.42,22,5432,UDP,12640,21085,257,529,56.07,5,4,1,internal.gov.local,4,Yes,USR-031,Password,Success,2,powershell,1,Critical,OT,OWNER-01,7.6,No,None,Normal,Normal,Normal,Normal,None,Normal,601.4802924915284,14.018191546281434,0.6666666666666666,0.786,10,2.0,9.0,train
N-01-00001,2026-01-12T14:16:38,Government Data Centres,DEPT-01,S01-GW01,S01-MGMT01,10.2.12.227,10.3.13.217,53,22,TCP,7244,56682,70,272,87.33,7,3,1,monitor.local,1,No,USR-047,Certificate,Success,1,nginx,12,High,DMZ,OWNER-01,7.0,Yes,None,Normal,Normal,Normal,Normal,None,Normal,732.0050383602428,3.9161800068704915,0.5,0.342,4,2.0,8.0,train
N-01-00002,2026-01-18T17:27:35,Government Data Centres,DEPT-01,S01-VPN01,S01-MON01,10.2.12.73,10.3.13.213,8080,5432,TCP,8632,12872,203,384,95.41,6,5,3,service.local,2,Yes,USR-065,Password,Success,0,nginx,4,High,DMZ,OWNER-01,2.2,Yes,None,Normal,Normal,Normal,Normal,None,Normal,225.38517975055026,6.152394927156482,0.0,0.587,13,2.0,12.0,train
N-01-00003,2026-01-13T03:37:29,Government Data Centres,DEPT-01,S01-MGMT01,S01-VPN01,10.2.12.40,10.3.13.157,8080,80,UDP,40378,41950,85,404,118.87,5,5,3,monitor.local,5,No,USR-061,Password,Success,1,powershell,3,Critical,Internal,OWNER-01,6.6,No,None,Normal,Normal,Normal,Normal,None,Normal,692.5885421048204,4.113737696643391,0.5,0.489,8,2.0,12.0,train
N-01-00004,2026-01-19T11:08:57,Government Data Centres,DEPT-01,S01-BKP01,S01-WS01,10.2.12.187,10.3.13.225,443,5432,UDP,17601,30024,371,54,70.06,3,5,4,service.local,2,No,USR-074,Certificate,Success,0,java,0,Critical,Internal,OWNER-01,2.2,No,None,Normal,Normal,Normal,Normal,None,Normal,679.7744790179846,6.066228946617185,0.0,0.425,9,2.0,13.0,train
N-01-00005,2026-01-10T20:42:09,Government Data Centres,DEPT-01,S01-MON01,S01-MGMT01,10.2.12.107,10.3.13.178,80,53,UDP,48423,8363,363,143,62.29,6,4,4,auth.local,2,Yes,USR-069,SSO,Success,2,powershell,20,High,Internal,OWNER-01,3.8,No,None,Normal,Normal,Normal,Normal,None,Normal,911.6391074008669,8.123294268742976,0.6666666666666666,0.506,13,2.0,12.0,train
N-01-00006,2026-01-05T17:00:15,Government Data Centres,DEPT-01,S01-WS01,S01-VPN01,10.2.12.73,10.3.13.144,22,80,UDP,19140,27368,355,502,38.11,6,5,3,auth.local,1,Yes,USR-051,SSO,Success,0,powershell,1,Medium,Internal,OWNER-01,9.0,No,None,Normal,Normal,Normal,Normal,None,Normal,1220.3621096824982,22.48753607976909,0.0,0.857,13,2.0,12.0,train
N-01-00007,2026-01-09T05:09:59,Government Data Centres,DEPT-01,S01-WS01,S01-APP01,10.2.12.115,10.3.13.169,22,53,TCP,13442,35737,479,577,83.57,3,1,2,service.local,1,No,USR-030,Password,Success,0,svchost,10,Medium,Internal,OWNER-01,9.0,No,None,Normal,Normal,Normal,Normal,None,Normal,588.4767260978821,12.636113437836546,0.0,1.056,3,2.0,7.0,train
N-01-00008,2026-01-16T20:01:49,Government Data Centres,DEPT-01,S01-MON01,S01-APP01,10.2.12.37,10.3.13.3,8080,80,UDP,42987,62550,246,206,90.73,5,3,3,internal.gov.local,1,No,USR-069,Certificate,Success,2,nginx,5,High,Internal,OWNER-01,3.8,No,None,Normal,Normal,Normal,Normal,None,Normal,1163.1985010470626,4.981814173922627,0.6666666666666666,0.452,6,2.0,10.0,train
N-01-00009,2026-01-02T03:50:53,Government Data Centres,DEPT-01,S01-BKP01,S01-AUTH01,10.2.12.103,10.3.13.203,53,80,UDP,2655,1414,154,583,72.37,6,3,4,monitor.local,2,Yes,USR-035,Password,Success,0,powershell,5,Critical,Internal,OWNER-01,2.2,No,None,Normal,Normal,Normal,Normal,None,Normal,56.2249550918889,10.183777808484178,0.0,0.737,12,2.0,11.0,train
