EVENT_ID,TIMESTAMP,SECTOR,DEPARTMENT,SOURCE_ASSET,DESTINATION_ASSET,SOURCE_IP,DESTINATION_IP,SOURCE_PORT,DESTINATION_PORT,PROTOCOL,BYTES_SENT,BYTES_RECEIVED,PACKETS_SENT,PACKETS_RECEIVED,FLOW_DURATION_SEC,CONNECTION_FREQUENCY,UNIQUE_DESTINATIONS,UNIQUE_PORTS,DNS_DOMAIN,DNS_FREQUENCY,DOMAIN_NOVELTY,USER_ID,AUTHENTICATION_TYPE,AUTHENTICATION_RESULT,FAILED_LOGIN_COUNT,PROCESS_NAME,FILE_ACTIVITY,ASSET_TYPE,ASSET_CRITICALITY,ASSET_ZONE,ASSET_OWNER,VULNERABILITY_SCORE,INTERNET_EXPOSURE,PREVIOUS_ATTACK_STAGE,CURRENT_ATTACK_STAGE,NEXT_ATTACK_STAGE,ATTACK_TYPE,MITRE_TECHNIQUE,LABEL,BYTES_PER_SEC,PACKETS_PER_SEC,AUTH_FAILURE_RATE,TRAFFIC_BURST_SCORE,TARGET_NOVELTY_SCORE,CRITICALITY_SCORE,BLAST_RADIUS_PROXY
N-10-00000,2026-01-02T13:38:49,State Government Networks,DEPT-10,S10-VPN01,S10-APP01,10.2.102.71,10.3.103.159,53,22,UDP,33077,21094,464,578,110.47,5,1,2,internal.gov.local,4,No,USR-065,Certificate,Success,0,nginx,4,High,DMZ,OWNER-10,2.6,Yes,None,Normal,Normal,Normal,Normal,None,Normal,490.3684258169639,9.432425092785373,0.0,1.042,3,2.0,7.0
N-10-00001,2026-01-01T22:52:29,State Government Networks,DEPT-10,S10-GW01,S10-APP01,10.2.102.9,10.3.103.36,53,53,UDP,29666,65238,495,451,69.27,7,5,3,service.local,4,No,USR-045,Certificate,Success,2,python,17,High,DMZ,OWNER-10,3.6,Yes,None,Normal,Normal,Normal,Normal,None,Normal,1370.059188681969,13.656705644579183,0.6666666666666666,0.946,8,2.0,12.0
N-10-00002,2026-01-11T16:37:35,State Government Networks,DEPT-10,S10-WS01,S10-AUTH01,10.2.102.99,10.3.103.45,22,443,UDP,17157,25263,447,106,27.34,5,3,4,auth.local,1,No,USR-068,Certificate,Success,0,svchost,8,Medium,Internal,OWNER-10,2.9,No,None,Normal,Normal,Normal,Normal,None,Normal,1551.5727871250915,20.226773957571325,0.0,0.553,7,2.0,11.0
N-10-00003,2026-01-18T06:45:45,State Government Networks,DEPT-10,S10-CTRL01,S10-MON01,10.2.102.30,10.3.103.206,53,5432,TCP,20001,13884,182,535,99.08,8,3,2,internal.gov.local,2,No,USR-065,Certificate,Success,1,java,9,Critical,OT,OWNER-10,2.5,No,None,Normal,Normal,Normal,Normal,None,Normal,341.9963665724667,7.236576503835285,0.5,0.717,5,2.0,9.0
N-10-00004,2026-01-12T10:11:07,State Government Networks,DEPT-10,S10-APP01,S10-GW01,10.2.102.190,10.3.103.102,53,80,TCP,5982,60695,159,104,97.91,7,4,3,internal.gov.local,5,No,USR-048,Certificate,Success,1,python,4,High,DMZ,OWNER-10,5.1,Yes,None,Normal,Normal,Normal,Normal,None,Normal,681.0029619037892,2.68614033295884,0.5,0.263,7,2.0,11.0
N-10-00005,2026-01-16T15:25:50,State Government Networks,DEPT-10,S10-CTRL01,S10-DB01,10.2.102.236,10.3.103.45,22,53,UDP,26288,1991,7,563,79.76,7,1,4,auth.local,1,Yes,USR-038,Certificate,Success,2,nginx,0,Critical,OT,OWNER-10,2.5,No,None,Normal,Normal,Normal,Normal,None,Normal,354.5511534603811,7.1464393179538614,0.6666666666666666,0.57,10,2.0,9.0
N-10-00006,2026-01-13T12:40:53,State Government Networks,DEPT-10,S10-MGMT01,S10-DB01,10.2.102.222,10.3.103.244,80,53,TCP,17581,13079,380,361,72.41,5,1,3,service.local,3,Yes,USR-037,SSO,Success,0,java,20,Critical,Internal,OWNER-10,2.5,No,None,Normal,Normal,Normal,Normal,None,Normal,423.42217925700874,10.233393177737883,0.0,0.741,9,2.0,8.0
N-10-00007,2026-01-18T08:15:05,State Government Networks,DEPT-10,S10-GW01,S10-VPN01,10.2.102.104,10.3.103.52,22,5432,UDP,45063,57710,214,553,56.63,5,2,4,service.local,4,No,USR-038,SSO,Success,0,powershell,8,High,DMZ,OWNER-10,3.6,Yes,None,Normal,Normal,Normal,Normal,None,Normal,1814.815468832774,13.544057919830477,0.0,0.767,6,2.0,10.0
N-10-00008,2026-01-02T23:04:49,State Government Networks,DEPT-10,S10-DB01,S10-VPN01,10.2.102.50,10.3.103.156,22,53,TCP,13747,16849,409,260,2.48,2,3,1,monitor.local,5,No,USR-013,Password,Success,1,nginx,0,Critical,Internal,OWNER-10,9.0,No,None,Normal,Normal,Normal,Normal,None,Normal,12337.09677419355,269.758064516129,0.5,0.669,4,2.0,8.0
N-10-00009,2026-01-02T23:39:23,State Government Networks,DEPT-10,S10-AUTH01,S10-MON01,10.2.102.146,10.3.103.18,8080,22,UDP,31981,22437,7,213,39.42,4,2,2,service.local,2,Yes,USR-071,Certificate,Success,0,nginx,9,Critical,Internal,OWNER-10,7.1,No,None,Normal,Normal,Normal,Normal,None,Normal,1380.466768138001,5.580923389142567,0.0,0.22,9,2.0,8.0
N-10-00010,2026-01-11T05:03:04,State Government Networks,DEPT-10,S10-MON01,S10-GW01,10.2.102.126,10.3.103.207,53,443,TCP,20249,43051,388,358,53.69,8,4,4,auth.local,2,No,USR-011,Certificate,Success,2,java,6,High,Internal,OWNER-10,6.6,No,None,Normal,Normal,Normal,Normal,None,Normal,1178.9905010243995,13.894579996274912,0.6666666666666666,0.746,8,2.0,12.0
N-10-00011,2026-01-05T09:06:53,State Government Networks,DEPT-10,S10-GW01,S10-CTRL01,10.2.102.79,10.3.103.109,8080,80,TCP,36927,63790,240,386,79.1,6,1,2,monitor.local,4,Yes,USR-054,SSO,Success,2,powershell,14,High,DMZ,OWNER-10,3.6,Yes,None,Normal,Normal,Normal,Normal,None,Normal,1273.2869785082175,7.914032869785083,0.6666666666666666,0.626,8,2.0,7.0
N-10-00012,2026-01-13T13:08:22,State Government Networks,DEPT-10,S10-DB01,S10-WS01,10.2.102.39,10.3.103.173,22,22,TCP,35274,55195,216,468,97.63,3,2,3,monitor.local,2,No,USR-034,Password,Success,2,python,13,Critical,Internal,OWNER-10,9.0,No,None,Normal,Normal,Normal,Normal,None,Normal,926.651643961897,7.0060432244187245,0.6666666666666666,0.684,5,2.0,9.0
N-10-00013,2026-01-14T17:12:30,State Government Networks,DEPT-10,S10-GW01,S10-DB01,10.2.102.248,10.3.103.89,80,5432,UDP,8023,26113,118,142,84.6,7,4,1,service.local,3,Yes,USR-043,SSO,Success,2,java,2,High,DMZ,OWNER-10,3.6,Yes,None,Normal,Normal,Normal,Normal,None,Normal,403.4988179669031,3.0732860520094563,0.6666666666666666,0.26,10,2.0,9.0
N-10-00014,2026-01-16T19:36:33,State Government Networks,DEPT-10,S10-AUTH01,S10-APP01,10.2.102.107,10.3.103.18,8080,5432,UDP,9356,58710,57,558,106.48,1,2,4,auth.local,5,No,USR-074,Certificate,Success,0,java,14,Critical,Internal,OWNER-10,7.1,No,None,Normal,Normal,Normal,Normal,None,Normal,639.2374154770848,5.7757325319308785,0.0,0.615,6,2.0,10.0
N-10-00015,2026-01-06T01:25:17,State Government Networks,DEPT-10,S10-DB01,S10-MGMT01,10.2.102.174,10.3.103.167,22,22,TCP,34726,66897,288,83,90.84,1,4,1,internal.gov.local,4,No,USR-080,SSO,Success,0,java,2,Critical,Internal,OWNER-10,9.0,No,None,Normal,Normal,Normal,Normal,None,Normal,1118.7032144429766,4.084103918978424,0.0,0.371,5,2.0,9.0
N-10-00016,2026-01-13T13:51:51,State Government Networks,DEPT-10,S10-GW01,S10-MON01,10.2.102.93,10.3.103.231,443,5432,TCP,29079,67958,163,133,75.05,5,3,4,internal.gov.local,1,No,USR-070,Password,Success,0,powershell,4,High,DMZ,OWNER-10,3.6,Yes,None,Normal,Normal,Normal,Normal,None,Normal,1292.964690206529,3.9440373084610263,0.0,0.296,7,2.0,11.0
N-10-00017,2026-01-03T14:07:54,State Government Networks,DEPT-10,S10-DB01,S10-APP01,10.2.102.142,10.3.103.107,53,22,UDP,19755,62461,416,46,26.95,8,1,3,auth.local,2,No,USR-023,Certificate,Success,2,java,16,Critical,Internal,OWNER-10,9.0,No,None,Normal,Normal,Normal,Normal,None,Normal,3050.6864564007424,17.142857142857142,0.6666666666666666,0.462,4,2.0,8.0
N-10-00018,2026-01-10T18:28:25,State Government Networks,DEPT-10,S10-DB01,S10-WS01,10.2.102.202,10.3.103.235,53,443,UDP,26754,33200,320,594,85.3,4,5,2,service.local,4,No,USR-024,Password,Success,1,nginx,16,Critical,Internal,OWNER-10,9.0,No,None,Normal,Normal,Normal,Normal,None,Normal,702.8604923798359,10.715123094958969,0.5,0.914,7,2.0,11.0
N-10-00019,2026-01-06T12:39:27,State Government Networks,DEPT-10,S10-AUTH01,S10-VPN01,10.2.102.7,10.3.103.94,80,5432,UDP,45875,34207,430,584,55.11,7,4,3,service.local,3,Yes,USR-027,Password,Success,2,java,12,Critical,Internal,OWNER-10,7.1,No,None,Normal,Normal,Normal,Normal,None,Normal,1453.1301034295047,18.399564507348938,0.6666666666666666,1.014,12,2.0,11.0
N-10-00020,2026-01-12T18:16:02,State Government Networks,DEPT-10,S10-MON01,S10-AUTH01,10.2.102.38,10.3.103.162,443,80,UDP,23443,18514,53,28,94.22,2,5,4,service.local,4,No,USR-044,Password,Success,1,nginx,3,High,Internal,OWNER-10,6.6,No,None,Normal,Normal,Normal,Normal,None,Normal,445.3088516238591,0.8596900870303545,0.5,0.081,9,2.0,13.0
N-10-00021,2026-01-13T10:02:21,State Government Networks,DEPT-10,S10-BKP01,S10-CTRL01,10.2.102.203,10.3.103.67,53,443,TCP,40829,22493,4,43,1.91,7,2,1,monitor.local,5,No,USR-027,Certificate,Success,1,powershell,3,Critical,Internal,OWNER-10,6.6,No,None,Normal,Normal,Normal,Normal,None,Normal,33152.879581151836,24.60732984293194,0.5,0.047,3,2.0,7.0
N-10-00022,2026-01-08T15:33:31,State Government Networks,DEPT-10,S10-APP01,S10-WS01,10.2.102.33,10.3.103.138,443,443,UDP,44530,25372,175,187,107.27,8,2,4,internal.gov.local,2,Yes,USR-029,Certificate,Success,0,java,1,High,DMZ,OWNER-10,5.1,Yes,None,Normal,Normal,Normal,Normal,None,Normal,651.6453808147666,3.374662067679687,0.0,0.362,11,2.0,10.0
N-10-00023,2026-01-07T18:14:30,State Government Networks,DEPT-10,S10-MON01,S10-DB01,10.2.102.52,10.3.103.223,443,22,UDP,21841,1621,395,271,96.15,2,5,2,monitor.local,5,Yes,USR-007,Certificate,Success,0,nginx,13,High,Internal,OWNER-10,6.6,No,None,Normal,Normal,Normal,Normal,None,Normal,244.0145605824233,6.926677067082683,0.0,0.666,12,2.0,11.0
N-10-00024,2026-01-01T14:36:19,State Government Networks,DEPT-10,S10-BKP01,S10-MGMT01,10.2.102.248,10.3.103.71,80,5432,TCP,13488,28907,17,581,116.18,1,4,3,monitor.local,4,Yes,USR-080,Password,Success,2,python,5,Critical,Internal,OWNER-10,6.6,No,None,Normal,Normal,Normal,Normal,None,Normal,364.9079015321053,5.147185401962472,0.6666666666666666,0.598,12,2.0,11.0
N-10-00025,2026-01-12T04:45:36,State Government Networks,DEPT-10,S10-BKP01,S10-DB01,10.2.102.221,10.3.103.2,80,22,UDP,21673,33606,280,327,71.63,2,4,4,service.local,1,No,USR-004,Certificate,Success,1,svchost,2,Critical,Internal,OWNER-10,6.6,No,None,Normal,Normal,Normal,Normal,None,Normal,771.7297221834427,8.474103029456932,0.5,0.607,8,2.0,12.0
N-10-00026,2026-01-18T21:59:05,State Government Networks,DEPT-10,S10-MON01,S10-DB01,10.2.102.31,10.3.103.161,8080,443,TCP,29546,32906,9,31,111.99,6,5,3,auth.local,1,No,USR-079,Password,Success,1,nginx,16,High,Internal,OWNER-10,6.6,No,None,Normal,Normal,Normal,Normal,None,Normal,557.6569336547906,0.3571747477453344,0.5,0.04,8,2.0,12.0
N-10-00027,2026-01-08T21:00:33,State Government Networks,DEPT-10,S10-GW01,S10-APP01,10.2.102.171,10.3.103.19,22,443,TCP,41333,5109,301,62,63.16,5,3,1,auth.local,5,No,USR-039,Certificate,Success,2,python,16,High,DMZ,OWNER-10,3.6,Yes,None,Normal,Normal,Normal,Normal,None,Normal,735.3071564281191,5.747308423052565,0.6666666666666666,0.363,4,2.0,8.0
N-10-00028,2026-01-12T01:58:12,State Government Networks,DEPT-10,S10-WS01,S10-MGMT01,10.2.102.102,10.3.103.195,80,5432,UDP,33866,69250,8,221,97.68,8,5,4,monitor.local,1,No,USR-021,Certificate,Success,2,nginx,10,Medium,Internal,OWNER-10,2.9,No,None,Normal,Normal,Normal,Normal,None,Normal,1055.6511056511056,2.3443898443898443,0.6666666666666666,0.229,9,2.0,13.0
N-10-00029,2026-01-17T01:31:30,State Government Networks,DEPT-10,S10-AUTH01,S10-BKP01,10.2.102.214,10.3.103.76,80,53,UDP,29540,65782,189,35,111.09,7,5,1,service.local,3,Yes,USR-031,Password,Success,2,java,12,Critical,Internal,OWNER-10,7.1,No,None,Normal,Normal,Normal,Normal,None,Normal,858.0610315960032,2.0163831127914302,0.6666666666666666,0.224,11,2.0,10.0
N-10-00030,2026-01-13T13:06:38,State Government Networks,DEPT-10,S10-MON01,S10-GW01,10.2.102.92,10.3.103.90,80,443,TCP,34237,59276,214,328,65.56,6,3,4,monitor.local,2,Yes,USR-058,Certificate,Success,0,svchost,3,High,Internal,OWNER-10,6.6,No,None,Normal,Normal,Normal,Normal,None,Normal,1426.3727882855399,8.267236119585112,0.0,0.542,12,2.0,11.0
N-10-00031,2026-01-11T00:42:44,State Government Networks,DEPT-10,S10-AUTH01,S10-CTRL01,10.2.102.15,10.3.103.174,80,443,UDP,8968,53965,258,375,28.62,8,2,3,auth.local,1,No,USR-034,Certificate,Success,2,python,8,Critical,Internal,OWNER-10,7.1,No,None,Normal,Normal,Normal,Normal,None,Normal,2198.9168413696716,22.11740041928721,0.6666666666666666,0.633,5,2.0,9.0
N-10-00032,2026-01-20T23:48:29,State Government Networks,DEPT-10,S10-APP01,S10-AUTH01,10.2.102.5,10.3.103.90,443,53,UDP,15807,4985,52,512,103.69,6,2,4,monitor.local,2,Yes,USR-076,SSO,Success,1,svchost,18,High,DMZ,OWNER-10,5.1,Yes,None,Normal,Normal,Normal,Normal,None,Normal,200.52078310348153,5.439290191918218,0.5,0.564,11,2.0,10.0
N-10-00033,2026-01-03T02:20:35,State Government Networks,DEPT-10,S10-MGMT01,S10-VPN01,10.2.102.49,10.3.103.210,80,80,UDP,7630,54573,425,38,80.83,8,4,3,service.local,2,Yes,USR-033,Certificate,Success,1,svchost,1,Critical,Internal,OWNER-10,2.5,No,None,Normal,Normal,Normal,Normal,None,Normal,769.5533836446864,5.728071260670543,0.5,0.463,12,2.0,11.0
N-10-00034,2026-01-11T05:30:15,State Government Networks,DEPT-10,S10-MON01,S10-APP01,10.2.102.60,10.3.103.174,443,80,TCP,27472,14175,288,518,91.5,6,3,3,auth.local,2,No,USR-056,Certificate,Success,2,svchost,5,High,Internal,OWNER-10,6.6,No,None,Normal,Normal,Normal,Normal,None,Normal,455.1584699453552,8.808743169398907,0.6666666666666666,0.806,6,2.0,10.0
