SCENARIO_ID,SECTOR,ATTACK_SCENARIO,ATTACK_STAGE_PATH,BASE_RISK,EXPECTED_SCOPE
SCN001,Government Data Centres,Network Reconnaissance,Reconnaissance -> Discovery -> Initial Access -> Execution,High,Cross-zone
SCN002,Government Data Centres,Brute Force,Reconnaissance -> Initial Access -> Credential Access -> Discovery -> Lateral Movement -> Collection,High,Single asset
SCN003,Government Data Centres,Credential Compromise,Reconnaissance -> Initial Access -> Credential Access -> Discovery -> Lateral Movement -> Collection,Low,Cross-zone
SCN004,Government Data Centres,Lateral Movement,Reconnaissance -> Initial Access -> Execution -> Persistence -> Privilege Escalation -> Discovery -> Lateral Movement -> Command and Control,Low,Single asset
SCN005,Government Data Centres,Ransomware,Reconnaissance -> Initial Access -> Execution -> Discovery -> Lateral Movement -> Collection -> Impact,Medium,Multiple departments
SCN006,Government Data Centres,Database Exfiltration,Reconnaissance -> Initial Access -> Credential Access -> Discovery -> Collection -> Exfiltration,Medium,Multiple departments
SCN007,Government Data Centres,DDoS,Reconnaissance -> Initial Access -> Execution -> Discovery -> Lateral Movement -> Collection -> Impact,Low,Department
SCN008,Government Data Centres,Web Application Compromise,Reconnaissance -> Initial Access -> Execution -> Persistence -> Privilege Escalation -> Discovery -> Lateral Movement -> Command and Control,High,Multiple departments
SCN009,Government Data Centres,Privilege Escalation,Reconnaissance -> Initial Access -> Execution -> Persistence -> Privilege Escalation -> Discovery -> Lateral Movement -> Command and Control,Medium,Cross-zone
SCN010,Government Data Centres,Command and Control,Reconnaissance -> Initial Access -> Execution -> Persistence -> Privilege Escalation -> Discovery -> Lateral Movement -> Command and Control,High,Single asset
SCN011,Power Infrastructure,IT-to-OT Lateral Movement,Reconnaissance -> Initial Access -> Execution -> Persistence -> Privilege Escalation -> Discovery -> Lateral Movement -> Command and Control,High,Single asset
SCN012,Power Infrastructure,SCADA Compromise,Reconnaissance -> Initial Access -> Execution -> Persistence -> Privilege Escalation -> Discovery -> Lateral Movement -> Command and Control,Medium,Multiple departments
SCN013,Power Infrastructure,OT Credential Compromise,Reconnaissance -> Initial Access -> Credential Access -> Discovery -> Lateral Movement -> Collection,Low,Single asset
SCN014,Power Infrastructure,Sensor Manipulation,Reconnaissance -> Initial Access -> Execution -> Persistence -> Privilege Escalation -> Discovery -> Lateral Movement -> Command and Control,Medium,Multiple departments
SCN015,Power Infrastructure,OT Denial of Service,Reconnaissance -> Initial Access -> Execution -> Discovery -> Lateral Movement -> Collection -> Impact,High,Department
SCN016,Power Infrastructure,Ransomware,Reconnaissance -> Initial Access -> Execution -> Discovery -> Lateral Movement -> Collection -> Impact,High,Department
