Sector,Telemetry_Profile,Context_Profile,Forecast_Objective,Data_Handling
Government Data Centres,Common network/auth/DNS/host/asset telemetry + sector-specific telemetry,"Asset-level criticality, communication zones, department/owner, vulnerability/exposure",Forecast current stage -> likely next stage -> likely target -> blast radius,Synthetic only for government-specific topology and sensitive scenarios
Power Infrastructure,Common network/auth/DNS/host/asset telemetry + sector-specific telemetry,"Asset-level criticality, communication zones, department/owner, vulnerability/exposure",Forecast current stage -> likely next stage -> likely target -> blast radius,Synthetic only for government-specific topology and sensitive scenarios
Telecom,Common network/auth/DNS/host/asset telemetry + sector-specific telemetry,"Asset-level criticality, communication zones, department/owner, vulnerability/exposure",Forecast current stage -> likely next stage -> likely target -> blast radius,Synthetic only for government-specific topology and sensitive scenarios
Railways,Common network/auth/DNS/host/asset telemetry + sector-specific telemetry,"Asset-level criticality, communication zones, department/owner, vulnerability/exposure",Forecast current stage -> likely next stage -> likely target -> blast radius,Synthetic only for government-specific topology and sensitive scenarios
Airports,Common network/auth/DNS/host/asset telemetry + sector-specific telemetry,"Asset-level criticality, communication zones, department/owner, vulnerability/exposure",Forecast current stage -> likely next stage -> likely target -> blast radius,Synthetic only for government-specific topology and sensitive scenarios
Defence Networks,Common network/auth/DNS/host/asset telemetry + sector-specific telemetry,"Asset-level criticality, communication zones, department/owner, vulnerability/exposure",Forecast current stage -> likely next stage -> likely target -> blast radius,Synthetic only for government-specific topology and sensitive scenarios
Government Financial Systems,Common network/auth/DNS/host/asset telemetry + sector-specific telemetry,"Asset-level criticality, communication zones, department/owner, vulnerability/exposure",Forecast current stage -> likely next stage -> likely target -> blast radius,Synthetic only for government-specific topology and sensitive scenarios
Government Healthcare,Common network/auth/DNS/host/asset telemetry + sector-specific telemetry,"Asset-level criticality, communication zones, department/owner, vulnerability/exposure",Forecast current stage -> likely next stage -> likely target -> blast radius,Synthetic only for government-specific topology and sensitive scenarios
Space Infrastructure,Common network/auth/DNS/host/asset telemetry + sector-specific telemetry,"Asset-level criticality, communication zones, department/owner, vulnerability/exposure",Forecast current stage -> likely next stage -> likely target -> blast radius,Synthetic only for government-specific topology and sensitive scenarios
State Government Networks,Common network/auth/DNS/host/asset telemetry + sector-specific telemetry,"Asset-level criticality, communication zones, department/owner, vulnerability/exposure",Forecast current stage -> likely next stage -> likely target -> blast radius,Synthetic only for government-specific topology and sensitive scenarios
