EVENT_ID,TIMESTAMP,SECTOR,DEPARTMENT,SOURCE_ASSET,DESTINATION_ASSET,SOURCE_IP,DESTINATION_IP,SOURCE_PORT,DESTINATION_PORT,PROTOCOL,BYTES_SENT,BYTES_RECEIVED,PACKETS_SENT,PACKETS_RECEIVED,FLOW_DURATION_SEC,CONNECTION_FREQUENCY,UNIQUE_DESTINATIONS,UNIQUE_PORTS,DNS_DOMAIN,DNS_FREQUENCY,DOMAIN_NOVELTY,USER_ID,AUTHENTICATION_TYPE,AUTHENTICATION_RESULT,FAILED_LOGIN_COUNT,PROCESS_NAME,FILE_ACTIVITY,ASSET_TYPE,ASSET_CRITICALITY,ASSET_ZONE,ASSET_OWNER,VULNERABILITY_SCORE,INTERNET_EXPOSURE,PREVIOUS_ATTACK_STAGE,CURRENT_ATTACK_STAGE,NEXT_ATTACK_STAGE,ATTACK_TYPE,MITRE_TECHNIQUE,LABEL,BYTES_PER_SEC,PACKETS_PER_SEC,AUTH_FAILURE_RATE,TRAFFIC_BURST_SCORE,TARGET_NOVELTY_SCORE,CRITICALITY_SCORE,BLAST_RADIUS_PROXY
N-02-00000,2026-01-15T16:47:17,Power Infrastructure,DEPT-02,S02-AUTH01,S02-VPN01,10.2.22.24,10.3.23.21,53,5432,TCP,27920,14923,370,396,103.04,3,4,4,monitor.local,2,No,USR-072,Password,Success,2,java,0,Critical,Internal,OWNER-02,8.3,No,None,Normal,Normal,Normal,Normal,None,Normal,415.78998447204964,7.434006211180124,0.6666666666666666,0.766,8,2.0,12.0
N-02-00001,2026-01-11T17:11:03,Power Infrastructure,DEPT-02,S02-DB01,S02-APP01,10.2.22.164,10.3.23.195,80,53,TCP,44274,34876,145,277,26.28,7,2,3,auth.local,5,Yes,USR-001,Password,Success,0,nginx,9,Critical,Internal,OWNER-02,7.9,No,None,Normal,Normal,Normal,Normal,None,Normal,3011.79604261796,16.057838660578387,0.0,0.422,10,2.0,9.0
N-02-00002,2026-01-05T00:38:42,Power Infrastructure,DEPT-02,S02-AUTH01,S02-MGMT01,10.2.22.226,10.3.23.97,80,53,TCP,38575,11999,482,161,114.82,8,3,2,internal.gov.local,2,No,USR-073,SSO,Success,1,nginx,7,Critical,Internal,OWNER-02,8.3,No,None,Normal,Normal,Normal,Normal,None,Normal,440.4633339139523,5.600069674272775,0.5,0.643,5,2.0,9.0
N-02-00003,2026-01-16T02:27:48,Power Infrastructure,DEPT-02,S02-CTRL01,S02-BKP01,10.2.22.116,10.3.23.2,80,22,TCP,24804,41913,70,317,5.14,6,2,4,auth.local,5,No,USR-069,SSO,Success,1,powershell,0,Critical,OT,OWNER-02,6.7,No,None,Normal,Normal,Normal,Normal,None,Normal,12979.961089494163,75.29182879377433,0.5,0.387,6,2.0,10.0
N-02-00004,2026-01-20T03:41:44,Power Infrastructure,DEPT-02,S02-DB01,S02-MON01,10.2.22.71,10.3.23.217,8080,5432,TCP,7989,46373,449,585,54.27,8,2,3,auth.local,4,Yes,USR-020,Password,Success,0,java,13,Critical,Internal,OWNER-02,7.9,No,None,Normal,Normal,Normal,Normal,None,Normal,1001.6952275658742,19.052883729500643,0.0,1.034,10,2.0,9.0
N-02-00005,2026-01-10T12:13:51,Power Infrastructure,DEPT-02,S02-GW01,S02-MON01,10.2.22.120,10.3.23.156,8080,5432,UDP,18792,9858,68,383,69.82,8,2,2,internal.gov.local,3,No,USR-078,Certificate,Success,1,java,5,High,DMZ,OWNER-02,6.3,Yes,None,Normal,Normal,Normal,Normal,None,Normal,410.3408765396735,6.459467201374965,0.5,0.451,4,2.0,8.0
N-02-00006,2026-01-01T14:03:24,Power Infrastructure,DEPT-02,S02-BKP01,S02-AUTH01,10.2.22.108,10.3.23.103,443,53,UDP,11794,24991,458,355,45.3,3,5,2,service.local,3,Yes,USR-052,Certificate,Success,2,svchost,15,Critical,Internal,OWNER-02,9.5,No,None,Normal,Normal,Normal,Normal,None,Normal,812.0309050772628,17.94701986754967,0.6666666666666666,0.813,12,2.0,11.0
N-02-00007,2026-01-09T19:15:58,Power Infrastructure,DEPT-02,S02-MON01,S02-AUTH01,10.2.22.201,10.3.23.113,443,22,TCP,16391,33598,270,178,5.96,5,5,2,internal.gov.local,3,No,USR-078,Certificate,Success,2,java,19,High,Internal,OWNER-02,2.8,No,None,Normal,Normal,Normal,Normal,None,Normal,8387.41610738255,75.16778523489933,0.6666666666666666,0.448,7,2.0,11.0
N-02-00008,2026-01-04T04:50:25,Power Infrastructure,DEPT-02,S02-APP01,S02-DB01,10.2.22.4,10.3.23.9,443,443,UDP,19696,6710,336,479,111.6,3,5,1,auth.local,2,No,USR-037,Certificate,Success,2,nginx,6,High,DMZ,OWNER-02,5.5,Yes,None,Normal,Normal,Normal,Normal,None,Normal,236.61290322580646,7.302867383512545,0.6666666666666666,0.815,6,2.0,10.0
N-02-00009,2026-01-01T17:06:13,Power Infrastructure,DEPT-02,S02-WS01,S02-APP01,10.2.22.134,10.3.23.209,8080,53,UDP,10181,61813,69,35,71.01,7,3,4,auth.local,2,No,USR-038,Password,Success,1,python,20,Medium,Internal,OWNER-02,7.4,No,None,Normal,Normal,Normal,Normal,None,Normal,1013.8572032108153,1.4645824531756089,0.5,0.104,7,2.0,11.0
N-02-00010,2026-01-13T03:13:11,Power Infrastructure,DEPT-02,S02-AUTH01,S02-GW01,10.2.22.61,10.3.23.88,80,443,UDP,28159,56312,313,106,74.72,5,5,4,service.local,5,No,USR-048,SSO,Success,2,java,0,Critical,Internal,OWNER-02,8.3,No,None,Normal,Normal,Normal,Normal,None,Normal,1130.500535331906,5.607601713062099,0.6666666666666666,0.419,9,2.0,13.0
N-02-00011,2026-01-16T07:50:23,Power Infrastructure,DEPT-02,S02-APP01,S02-VPN01,10.2.22.64,10.3.23.162,443,53,UDP,27006,13373,481,540,51.73,6,4,2,auth.local,1,No,USR-032,SSO,Success,1,powershell,3,High,DMZ,OWNER-02,5.5,Yes,None,Normal,Normal,Normal,Normal,None,Normal,780.5722018171274,19.737096462400928,0.5,1.021,6,2.0,10.0
N-02-00012,2026-01-06T11:10:04,Power Infrastructure,DEPT-02,S02-AUTH01,S02-BKP01,10.2.22.170,10.3.23.51,53,5432,UDP,26722,12905,8,55,59.59,8,2,2,internal.gov.local,4,No,USR-008,Password,Success,1,nginx,18,Critical,Internal,OWNER-02,8.3,No,None,Normal,Normal,Normal,Normal,None,Normal,664.9941265312972,1.057224366504447,0.5,0.063,4,2.0,8.0
N-02-00013,2026-01-04T16:04:44,Power Infrastructure,DEPT-02,S02-AUTH01,S02-GW01,10.2.22.87,10.3.23.215,8080,5432,TCP,38917,26188,266,497,23.29,8,1,2,auth.local,2,No,USR-040,SSO,Success,1,powershell,17,Critical,Internal,OWNER-02,8.3,No,None,Normal,Normal,Normal,Normal,None,Normal,2795.405753542293,32.760841562902534,0.5,0.763,3,2.0,7.0
N-02-00014,2026-01-19T01:50:17,Power Infrastructure,DEPT-02,S02-CTRL01,S02-GW01,10.2.22.128,10.3.23.112,443,53,UDP,8632,29755,163,69,110.77,1,4,4,auth.local,1,No,USR-061,Certificate,Success,0,python,11,Critical,OT,OWNER-02,6.7,No,None,Normal,Normal,Normal,Normal,None,Normal,346.5468989798682,2.0944298997923627,0.0,0.232,8,2.0,12.0
N-02-00015,2026-01-17T03:36:15,Power Infrastructure,DEPT-02,S02-APP01,S02-VPN01,10.2.22.248,10.3.23.170,80,5432,UDP,5341,35325,182,394,23.19,5,1,1,auth.local,5,No,USR-045,SSO,Success,2,nginx,3,High,DMZ,OWNER-02,5.5,Yes,None,Normal,Normal,Normal,Normal,None,Normal,1753.6006899525657,24.83829236739974,0.6666666666666666,0.576,2,2.0,6.0
N-02-00016,2026-01-07T06:18:17,Power Infrastructure,DEPT-02,S02-MGMT01,S02-VPN01,10.2.22.185,10.3.23.206,8080,53,UDP,16510,15531,473,409,5.72,8,4,1,internal.gov.local,3,No,USR-076,Password,Success,0,powershell,10,Critical,Internal,OWNER-02,4.2,No,None,Normal,Normal,Normal,Normal,None,Normal,5601.573426573427,154.19580419580421,0.0,0.882,5,2.0,9.0
N-02-00017,2026-01-13T14:40:17,Power Infrastructure,DEPT-02,S02-WS01,S02-APP01,10.2.22.6,10.3.23.196,80,5432,TCP,11879,10873,413,554,2.99,4,5,4,monitor.local,2,No,USR-031,Certificate,Success,1,python,17,Medium,Internal,OWNER-02,7.4,No,None,Normal,Normal,Normal,Normal,None,Normal,7609.364548494983,323.4113712374582,0.5,0.967,9,2.0,13.0
N-02-00018,2026-01-15T15:09:44,Power Infrastructure,DEPT-02,S02-BKP01,S02-WS01,10.2.22.192,10.3.23.7,53,5432,TCP,10132,51546,166,163,73.01,6,1,4,auth.local,4,No,USR-027,Certificate,Success,0,powershell,13,Critical,Internal,OWNER-02,9.5,No,None,Normal,Normal,Normal,Normal,None,Normal,844.7883851527188,4.506232023010546,0.0,0.329,5,2.0,9.0
N-02-00019,2026-01-02T14:18:59,Power Infrastructure,DEPT-02,S02-AUTH01,S02-WS01,10.2.22.50,10.3.23.156,53,22,UDP,1554,66147,466,521,108.01,7,4,1,monitor.local,1,No,USR-006,Certificate,Success,2,nginx,19,Critical,Internal,OWNER-02,8.3,No,None,Normal,Normal,Normal,Normal,None,Normal,626.803073789464,9.138042773817238,0.6666666666666666,0.987,5,2.0,9.0
N-02-00020,2026-01-13T15:22:53,Power Infrastructure,DEPT-02,S02-CTRL01,S02-APP01,10.2.22.187,10.3.23.212,22,80,TCP,6221,26374,350,150,97.31,7,1,1,auth.local,5,No,USR-071,SSO,Success,2,nginx,10,Critical,OT,OWNER-02,6.7,No,None,Normal,Normal,Normal,Normal,None,Normal,334.960435720892,5.13821806597472,0.6666666666666666,0.5,2,2.0,6.0
N-02-00021,2026-01-06T19:36:11,Power Infrastructure,DEPT-02,S02-AUTH01,S02-MON01,10.2.22.170,10.3.23.32,443,5432,UDP,2319,38901,234,164,17.69,6,2,4,internal.gov.local,4,Yes,USR-035,SSO,Success,2,powershell,9,Critical,Internal,OWNER-02,8.3,No,None,Normal,Normal,Normal,Normal,None,Normal,2330.1300169587334,22.498586772187675,0.6666666666666666,0.398,11,2.0,10.0
