EVENT_ID,TIMESTAMP,SECTOR,DEPARTMENT,SOURCE_ASSET,DESTINATION_ASSET,SOURCE_IP,DESTINATION_IP,SOURCE_PORT,DESTINATION_PORT,PROTOCOL,BYTES_SENT,BYTES_RECEIVED,PACKETS_SENT,PACKETS_RECEIVED,FLOW_DURATION_SEC,CONNECTION_FREQUENCY,UNIQUE_DESTINATIONS,UNIQUE_PORTS,DNS_DOMAIN,DNS_FREQUENCY,DOMAIN_NOVELTY,USER_ID,AUTHENTICATION_TYPE,AUTHENTICATION_RESULT,FAILED_LOGIN_COUNT,PROCESS_NAME,FILE_ACTIVITY,ASSET_TYPE,ASSET_CRITICALITY,ASSET_ZONE,ASSET_OWNER,VULNERABILITY_SCORE,INTERNET_EXPOSURE,PREVIOUS_ATTACK_STAGE,CURRENT_ATTACK_STAGE,NEXT_ATTACK_STAGE,ATTACK_TYPE,MITRE_TECHNIQUE,LABEL,BYTES_PER_SEC,PACKETS_PER_SEC,AUTH_FAILURE_RATE,TRAFFIC_BURST_SCORE,TARGET_NOVELTY_SCORE,CRITICALITY_SCORE,BLAST_RADIUS_PROXY
N-09-00000,2026-01-20T05:09:25,Space Infrastructure,DEPT-09,S09-WS01,S09-APP01,10.2.92.56,10.3.93.159,443,5432,TCP,49686,49074,17,22,18.54,8,1,3,service.local,2,No,USR-041,SSO,Success,1,python,18,Medium,Internal,OWNER-09,8.0,No,None,Normal,Normal,Normal,Normal,None,Normal,5326.860841423949,2.103559870550162,0.5,0.039,4,2.0,8.0
N-09-00001,2026-01-11T02:45:35,Space Infrastructure,DEPT-09,S09-WS01,S09-GW01,10.2.92.5,10.3.93.197,53,443,TCP,34000,61330,119,513,92.12,4,3,1,monitor.local,5,No,USR-042,Password,Success,0,nginx,4,Medium,Internal,OWNER-09,8.0,No,None,Normal,Normal,Normal,Normal,None,Normal,1034.845853234911,6.860616587060356,0.0,0.632,4,2.0,8.0
N-09-00002,2026-01-06T21:54:32,Space Infrastructure,DEPT-09,S09-MON01,S09-MGMT01,10.2.92.15,10.3.93.176,53,5432,TCP,38535,15639,176,117,81.33,6,4,2,auth.local,3,No,USR-033,SSO,Success,1,nginx,8,High,Internal,OWNER-09,8.8,No,None,Normal,Normal,Normal,Normal,None,Normal,666.101069715972,3.6026066642075496,0.5,0.293,6,2.0,10.0
N-09-00003,2026-01-11T15:45:11,Space Infrastructure,DEPT-09,S09-APP01,S09-MGMT01,10.2.92.157,10.3.93.163,443,22,TCP,36374,60226,21,459,87.34,7,3,2,internal.gov.local,4,No,USR-059,SSO,Success,1,nginx,8,High,DMZ,OWNER-09,8.8,Yes,None,Normal,Normal,Normal,Normal,None,Normal,1106.0224410350354,5.495763682161667,0.5,0.48,5,2.0,9.0
N-09-00004,2026-01-06T02:22:58,Space Infrastructure,DEPT-09,S09-MON01,S09-BKP01,10.2.92.151,10.3.93.211,53,80,TCP,34749,49514,91,185,31.64,6,5,4,service.local,4,No,USR-002,SSO,Success,2,svchost,13,High,Internal,OWNER-09,8.8,No,None,Normal,Normal,Normal,Normal,None,Normal,2663.1795195954487,8.723135271807838,0.6666666666666666,0.276,9,2.0,13.0
N-09-00005,2026-01-09T00:31:21,Space Infrastructure,DEPT-09,S09-MON01,S09-AUTH01,10.2.92.233,10.3.93.183,443,5432,TCP,45801,15339,44,579,16.79,2,1,1,internal.gov.local,5,No,USR-002,Password,Success,0,powershell,3,High,Internal,OWNER-09,8.8,No,None,Normal,Normal,Normal,Normal,None,Normal,3641.45324597975,37.10541989279333,0.0,0.623,2,2.0,6.0
N-09-00006,2026-01-10T10:56:07,Space Infrastructure,DEPT-09,S09-WS01,S09-MON01,10.2.92.173,10.3.93.178,8080,5432,TCP,35622,40272,171,369,40.33,4,1,4,internal.gov.local,4,No,USR-044,SSO,Success,0,java,8,Medium,Internal,OWNER-09,8.0,No,None,Normal,Normal,Normal,Normal,None,Normal,1881.8249442102654,13.389536325316142,0.0,0.54,5,2.0,9.0
N-09-00007,2026-01-12T09:01:00,Space Infrastructure,DEPT-09,S09-APP01,S09-CTRL01,10.2.92.79,10.3.93.241,53,5432,UDP,3084,33787,201,226,11.01,4,1,3,internal.gov.local,3,No,USR-036,SSO,Success,0,svchost,10,High,DMZ,OWNER-09,8.8,Yes,None,Normal,Normal,Normal,Normal,None,Normal,3348.864668483197,38.782924613987284,0.0,0.427,4,2.0,8.0
N-09-00008,2026-01-18T18:17:16,Space Infrastructure,DEPT-09,S09-GW01,S09-DB01,10.2.92.215,10.3.93.246,8080,80,UDP,14583,67495,198,430,38.95,3,5,4,auth.local,3,Yes,USR-004,Certificate,Success,0,svchost,12,High,DMZ,OWNER-09,3.9,Yes,None,Normal,Normal,Normal,Normal,None,Normal,2107.2657252888316,16.123234916559692,0.0,0.628,14,2.0,13.0
N-09-00009,2026-01-04T00:03:29,Space Infrastructure,DEPT-09,S09-MGMT01,S09-DB01,10.2.92.188,10.3.93.7,53,80,TCP,40086,59736,447,580,110.91,4,3,1,auth.local,4,No,USR-007,SSO,Success,2,java,10,Critical,Internal,OWNER-09,7.1,No,None,Normal,Normal,Normal,Normal,None,Normal,900.0270489586151,9.25976016590028,0.6666666666666666,1.027,4,2.0,8.0
N-09-00010,2026-01-19T16:43:11,Space Infrastructure,DEPT-09,S09-DB01,S09-WS01,10.2.92.16,10.3.93.54,8080,80,UDP,46640,5443,404,418,87.09,3,2,3,internal.gov.local,2,No,USR-001,SSO,Success,1,python,12,Critical,Internal,OWNER-09,8.4,No,None,Normal,Normal,Normal,Normal,None,Normal,598.0365139510851,9.438511884257665,0.5,0.822,5,2.0,9.0
N-09-00011,2026-01-18T03:08:43,Space Infrastructure,DEPT-09,S09-MON01,S09-VPN01,10.2.92.130,10.3.93.54,8080,5432,UDP,4163,66867,131,137,41.97,5,4,2,auth.local,1,No,USR-065,Certificate,Success,2,java,16,High,Internal,OWNER-09,8.8,No,None,Normal,Normal,Normal,Normal,None,Normal,1692.3993328568026,6.3855134619966645,0.6666666666666666,0.268,6,2.0,10.0
N-09-00012,2026-01-17T15:47:31,Space Infrastructure,DEPT-09,S09-GW01,S09-APP01,10.2.92.133,10.3.93.13,53,22,TCP,49206,65448,24,217,98.24,4,2,4,auth.local,1,No,USR-018,SSO,Success,0,java,4,High,DMZ,OWNER-09,3.9,Yes,None,Normal,Normal,Normal,Normal,None,Normal,1167.0806188925083,2.4531758957654723,0.0,0.241,6,2.0,10.0
N-09-00013,2026-01-20T01:15:15,Space Infrastructure,DEPT-09,S09-AUTH01,S09-GW01,10.2.92.82,10.3.93.27,80,22,TCP,5649,49046,143,122,35.65,7,4,2,monitor.local,2,No,USR-008,Certificate,Success,1,nginx,4,Critical,Internal,OWNER-09,2.7,No,None,Normal,Normal,Normal,Normal,None,Normal,1534.2215988779803,7.433380084151473,0.5,0.265,6,2.0,10.0
N-09-00014,2026-01-17T09:16:21,Space Infrastructure,DEPT-09,S09-AUTH01,S09-DB01,10.2.92.209,10.3.93.9,22,80,UDP,22724,49923,377,196,118.47,5,3,3,internal.gov.local,1,No,USR-011,Password,Success,2,svchost,2,Critical,Internal,OWNER-09,2.7,No,None,Normal,Normal,Normal,Normal,None,Normal,613.2100953827974,4.836667510762219,0.6666666666666666,0.573,6,2.0,10.0
N-09-00015,2026-01-04T08:10:15,Space Infrastructure,DEPT-09,S09-VPN01,S09-GW01,10.2.92.98,10.3.93.141,53,53,UDP,20321,54344,17,439,115.17,2,5,2,monitor.local,3,No,USR-024,Certificate,Success,2,svchost,17,High,DMZ,OWNER-09,9.5,Yes,None,Normal,Normal,Normal,Normal,None,Normal,648.302509334028,3.95936441781714,0.6666666666666666,0.456,7,2.0,11.0
N-09-00016,2026-01-12T06:02:12,Space Infrastructure,DEPT-09,S09-BKP01,S09-GW01,10.2.92.124,10.3.93.210,80,53,UDP,3500,7998,19,180,83.33,4,1,2,auth.local,5,No,USR-069,Password,Success,0,nginx,15,Critical,Internal,OWNER-09,3.3,No,None,Normal,Normal,Normal,Normal,None,Normal,137.98151926077043,2.3880955238209527,0.0,0.199,3,2.0,7.0
N-09-00017,2026-01-07T05:27:23,Space Infrastructure,DEPT-09,S09-BKP01,S09-APP01,10.2.92.222,10.3.93.128,53,80,TCP,1670,34721,4,457,87.4,1,2,3,service.local,2,Yes,USR-068,SSO,Success,2,powershell,9,Critical,Internal,OWNER-09,3.3,No,None,Normal,Normal,Normal,Normal,None,Normal,416.37299771167045,5.274599542334096,0.6666666666666666,0.461,10,2.0,9.0
N-09-00018,2026-01-10T12:48:16,Space Infrastructure,DEPT-09,S09-DB01,S09-CTRL01,10.2.92.126,10.3.93.246,8080,22,UDP,26855,19124,85,360,55.85,7,2,4,service.local,4,Yes,USR-045,Certificate,Success,2,svchost,11,Critical,Internal,OWNER-09,8.4,No,None,Normal,Normal,Normal,Normal,None,Normal,823.2587287376903,7.967770814682185,0.6666666666666666,0.445,11,2.0,10.0
N-09-00019,2026-01-12T05:41:01,Space Infrastructure,DEPT-09,S09-MGMT01,S09-GW01,10.2.92.109,10.3.93.106,53,22,UDP,4427,25338,477,218,58.95,6,3,3,auth.local,5,No,USR-048,SSO,Success,2,python,14,Critical,Internal,OWNER-09,7.1,No,None,Normal,Normal,Normal,Normal,None,Normal,504.9194232400339,11.789652247667513,0.6666666666666666,0.695,6,2.0,10.0
