EVENT_ID,TIMESTAMP,SECTOR,DEPARTMENT,SOURCE_ASSET,DESTINATION_ASSET,SOURCE_IP,DESTINATION_IP,SOURCE_PORT,DESTINATION_PORT,PROTOCOL,BYTES_SENT,BYTES_RECEIVED,PACKETS_SENT,PACKETS_RECEIVED,FLOW_DURATION_SEC,CONNECTION_FREQUENCY,UNIQUE_DESTINATIONS,UNIQUE_PORTS,DNS_DOMAIN,DNS_FREQUENCY,DOMAIN_NOVELTY,USER_ID,AUTHENTICATION_TYPE,AUTHENTICATION_RESULT,FAILED_LOGIN_COUNT,PROCESS_NAME,FILE_ACTIVITY,ASSET_TYPE,ASSET_CRITICALITY,ASSET_ZONE,ASSET_OWNER,VULNERABILITY_SCORE,INTERNET_EXPOSURE,PREVIOUS_ATTACK_STAGE,CURRENT_ATTACK_STAGE,NEXT_ATTACK_STAGE,ATTACK_TYPE,MITRE_TECHNIQUE,LABEL,BYTES_PER_SEC,PACKETS_PER_SEC,AUTH_FAILURE_RATE,TRAFFIC_BURST_SCORE,TARGET_NOVELTY_SCORE,CRITICALITY_SCORE,BLAST_RADIUS_PROXY
N-08-00000,2026-01-07T12:21:10,Government Healthcare,DEPT-08,S08-VPN01,S08-BKP01,10.2.82.27,10.3.83.113,443,22,UDP,41686,67472,261,158,87.24,4,4,1,service.local,2,No,USR-022,SSO,Success,1,nginx,20,High,DMZ,OWNER-08,2.9,Yes,None,Normal,Normal,Normal,Normal,None,Normal,1251.2379642365888,4.802842732691426,0.5,0.419,5,2.0,9.0
N-08-00001,2026-01-10T15:10:26,Government Healthcare,DEPT-08,S08-APP01,S08-CTRL01,10.2.82.37,10.3.83.7,443,80,UDP,39163,28444,140,558,72.13,5,4,4,internal.gov.local,1,No,USR-079,SSO,Success,0,nginx,15,High,DMZ,OWNER-08,8.8,Yes,None,Normal,Normal,Normal,Normal,None,Normal,937.2937751282408,9.676972133647581,0.0,0.698,8,2.0,12.0
N-08-00002,2026-01-17T12:42:21,Government Healthcare,DEPT-08,S08-AUTH01,S08-CTRL01,10.2.82.220,10.3.83.54,8080,5432,TCP,23977,64970,305,223,4.31,4,4,2,service.local,1,No,USR-023,Certificate,Success,1,svchost,11,Critical,Internal,OWNER-08,8.6,No,None,Normal,Normal,Normal,Normal,None,Normal,20637.354988399075,122.50580046403714,0.5,0.528,6,2.0,10.0
N-08-00003,2026-01-07T05:51:29,Government Healthcare,DEPT-08,S08-WS01,S08-GW01,10.2.82.7,10.3.83.105,22,53,TCP,12490,50141,229,316,22.68,7,4,3,internal.gov.local,2,No,USR-054,Password,Success,1,python,19,Medium,Internal,OWNER-08,4.9,No,None,Normal,Normal,Normal,Normal,None,Normal,2761.5079365079364,24.029982363315696,0.5,0.545,7,2.0,11.0
N-08-00004,2026-01-11T16:52:41,Government Healthcare,DEPT-08,S08-GW01,S08-MGMT01,10.2.82.47,10.3.83.186,53,5432,TCP,23274,62068,498,94,77.95,1,4,4,service.local,4,No,USR-040,Certificate,Success,2,svchost,12,High,DMZ,OWNER-08,6.0,Yes,None,Normal,Normal,Normal,Normal,None,Normal,1094.8300192431045,7.594611930724823,0.6666666666666666,0.592,8,2.0,12.0
N-08-00005,2026-01-03T10:34:10,Government Healthcare,DEPT-08,S08-MGMT01,S08-CTRL01,10.2.82.21,10.3.83.51,443,53,TCP,39959,62034,394,537,27.68,8,1,3,internal.gov.local,5,Yes,USR-039,Password,Success,0,nginx,2,Critical,Internal,OWNER-08,6.2,No,None,Normal,Normal,Normal,Normal,None,Normal,3684.7182080924854,33.634393063583815,0.0,0.931,9,2.0,8.0
N-08-00006,2026-01-04T20:15:33,Government Healthcare,DEPT-08,S08-APP01,S08-VPN01,10.2.82.111,10.3.83.10,80,53,UDP,21419,4452,138,87,86.5,5,4,1,auth.local,4,Yes,USR-018,SSO,Success,0,powershell,20,High,DMZ,OWNER-08,8.8,Yes,None,Normal,Normal,Normal,Normal,None,Normal,299.08670520231215,2.601156069364162,0.0,0.225,10,2.0,9.0
N-08-00007,2026-01-04T12:53:01,Government Healthcare,DEPT-08,S08-WS01,S08-APP01,10.2.82.57,10.3.83.224,80,5432,UDP,10055,68566,380,258,112.32,1,3,1,internal.gov.local,2,No,USR-069,Password,Success,2,nginx,4,Medium,Internal,OWNER-08,4.9,No,None,Normal,Normal,Normal,Normal,None,Normal,699.9732905982906,5.680199430199431,0.6666666666666666,0.638,4,2.0,8.0
N-08-00008,2026-01-17T10:40:04,Government Healthcare,DEPT-08,S08-DB01,S08-CTRL01,10.2.82.117,10.3.83.213,22,22,TCP,24587,12955,180,473,73.87,8,3,1,monitor.local,2,Yes,USR-015,Password,Success,1,svchost,18,Critical,Internal,OWNER-08,6.7,No,None,Normal,Normal,Normal,Normal,None,Normal,508.2171382157845,8.839853797211317,0.5,0.653,9,2.0,8.0
N-08-00009,2026-01-08T10:32:59,Government Healthcare,DEPT-08,S08-BKP01,S08-MON01,10.2.82.13,10.3.83.162,22,5432,UDP,32239,39501,52,307,51.63,5,5,3,internal.gov.local,3,Yes,USR-015,SSO,Success,1,java,18,Critical,Internal,OWNER-08,9.2,No,None,Normal,Normal,Normal,Normal,None,Normal,1389.502227387178,6.953321712182839,0.5,0.359,13,2.0,12.0
