EVENT_ID,TIMESTAMP,SECTOR,DEPARTMENT,SOURCE_ASSET,DESTINATION_ASSET,SOURCE_IP,DESTINATION_IP,SOURCE_PORT,DESTINATION_PORT,PROTOCOL,BYTES_SENT,BYTES_RECEIVED,PACKETS_SENT,PACKETS_RECEIVED,FLOW_DURATION_SEC,CONNECTION_FREQUENCY,UNIQUE_DESTINATIONS,UNIQUE_PORTS,DNS_DOMAIN,DNS_FREQUENCY,DOMAIN_NOVELTY,USER_ID,AUTHENTICATION_TYPE,AUTHENTICATION_RESULT,FAILED_LOGIN_COUNT,PROCESS_NAME,FILE_ACTIVITY,ASSET_TYPE,ASSET_CRITICALITY,ASSET_ZONE,ASSET_OWNER,VULNERABILITY_SCORE,INTERNET_EXPOSURE,PREVIOUS_ATTACK_STAGE,CURRENT_ATTACK_STAGE,NEXT_ATTACK_STAGE,ATTACK_TYPE,MITRE_TECHNIQUE,LABEL,BYTES_PER_SEC,PACKETS_PER_SEC,AUTH_FAILURE_RATE,TRAFFIC_BURST_SCORE,TARGET_NOVELTY_SCORE,CRITICALITY_SCORE,BLAST_RADIUS_PROXY
N-04-00000,2026-01-06T02:01:16,Railways,DEPT-04,S04-APP01,S04-MON01,10.2.42.143,10.3.43.227,443,80,TCP,2526,40006,350,249,106.08,3,3,4,internal.gov.local,3,No,USR-078,Certificate,Success,0,nginx,10,High,DMZ,OWNER-04,8.5,Yes,None,Normal,Normal,Normal,Normal,None,Normal,400.9426847662142,5.6466817496229265,0.0,0.599,7,2.0,11.0
N-04-00001,2026-01-13T14:22:31,Railways,DEPT-04,S04-VPN01,S04-APP01,10.2.42.179,10.3.43.99,80,22,TCP,18599,56367,195,96,3.42,2,1,4,internal.gov.local,5,No,USR-065,Password,Success,1,nginx,16,High,DMZ,OWNER-04,5.0,Yes,None,Normal,Normal,Normal,Normal,None,Normal,21919.883040935674,85.08771929824562,0.5,0.291,5,2.0,9.0
N-04-00002,2026-01-17T14:50:09,Railways,DEPT-04,S04-CTRL01,S04-DB01,10.2.42.148,10.3.43.180,8080,53,UDP,12846,56280,199,117,35.94,1,1,1,monitor.local,5,No,USR-008,Password,Success,1,powershell,6,Critical,OT,OWNER-04,7.4,No,None,Normal,Normal,Normal,Normal,None,Normal,1923.3722871452421,8.79243183082916,0.5,0.316,2,2.0,6.0
N-04-00003,2026-01-05T08:33:21,Railways,DEPT-04,S04-BKP01,S04-APP01,10.2.42.18,10.3.43.74,80,53,TCP,34645,10625,68,321,7.7,3,1,2,internal.gov.local,5,No,USR-028,Certificate,Success,1,java,0,Critical,Internal,OWNER-04,3.3,No,None,Normal,Normal,Normal,Normal,None,Normal,5879.220779220779,50.51948051948052,0.5,0.389,3,2.0,7.0
N-04-00004,2026-01-02T05:15:50,Railways,DEPT-04,S04-GW01,S04-MON01,10.2.42.62,10.3.43.168,80,5432,UDP,39657,47212,486,474,27.34,8,3,4,auth.local,1,No,USR-071,Certificate,Success,1,powershell,4,High,DMZ,OWNER-04,4.2,Yes,None,Normal,Normal,Normal,Normal,None,Normal,3177.359180687637,35.11338697878566,0.5,0.96,7,2.0,11.0
N-04-00005,2026-01-04T05:01:49,Railways,DEPT-04,S04-GW01,S04-VPN01,10.2.42.88,10.3.43.157,22,443,TCP,32658,50696,136,600,35.94,2,2,2,internal.gov.local,5,No,USR-041,SSO,Success,0,java,11,High,DMZ,OWNER-04,4.2,Yes,None,Normal,Normal,Normal,Normal,None,Normal,2319.2543127434615,20.478575403450197,0.0,0.736,4,2.0,8.0
N-04-00006,2026-01-21T00:55:39,Railways,DEPT-04,S04-MGMT01,S04-WS01,10.2.42.182,10.3.43.67,80,80,UDP,4859,34181,48,242,90.31,4,2,3,auth.local,5,Yes,USR-014,Password,Success,0,java,20,Critical,Internal,OWNER-04,2.6,No,None,Normal,Normal,Normal,Normal,None,Normal,432.2887830805005,3.2111615546451113,0.0,0.29,10,2.0,9.0
N-04-00007,2026-01-09T05:56:27,Railways,DEPT-04,S04-DB01,S04-GW01,10.2.42.27,10.3.43.208,80,443,TCP,8316,32198,254,145,113.04,7,4,1,service.local,1,No,USR-048,Certificate,Success,2,java,4,Critical,Internal,OWNER-04,7.2,No,None,Normal,Normal,Normal,Normal,None,Normal,358.40410474168436,3.529723991507431,0.6666666666666666,0.399,5,2.0,9.0
N-04-00008,2026-01-03T01:49:06,Railways,DEPT-04,S04-APP01,S04-AUTH01,10.2.42.134,10.3.43.151,443,5432,TCP,43626,6600,261,495,70.21,4,2,2,internal.gov.local,5,No,USR-025,Certificate,Success,2,python,2,High,DMZ,OWNER-04,8.5,Yes,None,Normal,Normal,Normal,Normal,None,Normal,715.3681811707735,10.767696909272184,0.6666666666666666,0.756,4,2.0,8.0
N-04-00009,2026-01-19T19:19:27,Railways,DEPT-04,S04-CTRL01,S04-VPN01,10.2.42.212,10.3.43.239,443,80,TCP,49885,67067,80,577,67.7,2,5,1,auth.local,2,No,USR-041,Certificate,Success,2,svchost,5,Critical,OT,OWNER-04,7.4,No,None,Normal,Normal,Normal,Normal,None,Normal,1727.5036927621861,9.704579025110782,0.6666666666666666,0.657,6,2.0,10.0
N-04-00010,2026-01-09T17:39:32,Railways,DEPT-04,S04-VPN01,S04-DB01,10.2.42.185,10.3.43.145,443,22,UDP,32049,57299,258,39,54.93,8,5,1,service.local,3,No,USR-054,SSO,Success,1,java,6,High,DMZ,OWNER-04,5.0,Yes,None,Normal,Normal,Normal,Normal,None,Normal,1626.5792827234663,5.406881485527035,0.5,0.297,6,2.0,10.0
N-04-00011,2026-01-17T18:28:40,Railways,DEPT-04,S04-MGMT01,S04-CTRL01,10.2.42.186,10.3.43.99,22,5432,UDP,2051,24548,353,485,3.61,3,5,1,monitor.local,3,No,USR-019,Password,Success,2,powershell,17,Critical,Internal,OWNER-04,2.6,No,None,Normal,Normal,Normal,Normal,None,Normal,7368.14404432133,232.13296398891967,0.6666666666666666,0.838,6,2.0,10.0
N-04-00012,2026-01-02T04:11:05,Railways,DEPT-04,S04-CTRL01,S04-VPN01,10.2.42.79,10.3.43.120,53,5432,TCP,26523,25133,333,112,40.37,7,3,4,monitor.local,5,No,USR-035,Password,Success,0,powershell,17,Critical,OT,OWNER-04,7.4,No,None,Normal,Normal,Normal,Normal,None,Normal,1279.5640326975479,11.023036908595492,0.0,0.445,7,2.0,11.0
N-04-00013,2026-01-07T15:23:20,Railways,DEPT-04,S04-WS01,S04-BKP01,10.2.42.63,10.3.43.109,53,5432,TCP,42924,22791,466,428,22.89,5,3,4,internal.gov.local,5,No,USR-010,SSO,Success,1,python,12,Medium,Internal,OWNER-04,9.3,No,None,Normal,Normal,Normal,Normal,None,Normal,2870.9043250327654,39.056356487549145,0.5,0.894,7,2.0,11.0
N-04-00014,2026-01-17T08:19:18,Railways,DEPT-04,S04-BKP01,S04-APP01,10.2.42.80,10.3.43.170,53,53,UDP,34241,35343,480,62,63.0,6,4,1,internal.gov.local,4,No,USR-050,Password,Success,0,powershell,0,Critical,Internal,OWNER-04,3.3,No,None,Normal,Normal,Normal,Normal,None,Normal,1104.5079365079366,8.603174603174603,0.0,0.542,5,2.0,9.0
