EVENT_ID,TIMESTAMP,SECTOR,DEPARTMENT,SOURCE_ASSET,DESTINATION_ASSET,SOURCE_IP,DESTINATION_IP,SOURCE_PORT,DESTINATION_PORT,PROTOCOL,BYTES_SENT,BYTES_RECEIVED,PACKETS_SENT,PACKETS_RECEIVED,FLOW_DURATION_SEC,CONNECTION_FREQUENCY,UNIQUE_DESTINATIONS,UNIQUE_PORTS,DNS_DOMAIN,DNS_FREQUENCY,DOMAIN_NOVELTY,USER_ID,AUTHENTICATION_TYPE,AUTHENTICATION_RESULT,FAILED_LOGIN_COUNT,PROCESS_NAME,FILE_ACTIVITY,ASSET_TYPE,ASSET_CRITICALITY,ASSET_ZONE,ASSET_OWNER,VULNERABILITY_SCORE,INTERNET_EXPOSURE,PREVIOUS_ATTACK_STAGE,CURRENT_ATTACK_STAGE,NEXT_ATTACK_STAGE,ATTACK_TYPE,MITRE_TECHNIQUE,LABEL,BYTES_PER_SEC,PACKETS_PER_SEC,AUTH_FAILURE_RATE,TRAFFIC_BURST_SCORE,TARGET_NOVELTY_SCORE,CRITICALITY_SCORE,BLAST_RADIUS_PROXY
N-03-00000,2026-01-16T08:19:17,Telecom,DEPT-03,S03-APP01,S03-MON01,10.2.32.82,10.3.33.250,8080,53,TCP,41683,34632,344,209,66.39,1,5,2,monitor.local,4,No,USR-046,SSO,Success,0,svchost,16,High,DMZ,OWNER-03,3.0,Yes,None,Normal,Normal,Normal,Normal,None,Normal,1149.4954059346287,8.329567705979816,0.0,0.553,7,2.0,11.0
N-03-00001,2026-01-16T01:22:28,Telecom,DEPT-03,S03-MGMT01,S03-GW01,10.2.32.17,10.3.33.84,443,5432,TCP,23109,11822,332,123,94.86,4,1,4,monitor.local,2,No,USR-062,SSO,Success,2,nginx,8,Critical,Internal,OWNER-03,6.5,No,None,Normal,Normal,Normal,Normal,None,Normal,368.23740248787686,4.796542272823108,0.6666666666666666,0.455,5,2.0,9.0
N-03-00002,2026-01-10T18:14:27,Telecom,DEPT-03,S03-WS01,S03-BKP01,10.2.32.245,10.3.33.235,443,5432,UDP,26573,60377,353,387,95.56,2,3,1,auth.local,2,No,USR-001,Password,Success,0,java,12,Medium,Internal,OWNER-03,8.9,No,None,Normal,Normal,Normal,Normal,None,Normal,909.8995395562997,7.743825868564253,0.0,0.74,4,2.0,8.0
N-03-00003,2026-01-11T15:43:24,Telecom,DEPT-03,S03-MGMT01,S03-BKP01,10.2.32.179,10.3.33.79,53,22,UDP,42300,51948,187,470,105.9,3,5,4,monitor.local,3,No,USR-008,SSO,Success,0,svchost,16,Critical,Internal,OWNER-03,6.5,No,None,Normal,Normal,Normal,Normal,None,Normal,889.971671388102,6.203966005665722,0.0,0.657,9,2.0,13.0
N-03-00004,2026-01-19T08:41:48,Telecom,DEPT-03,S03-MGMT01,S03-GW01,10.2.32.207,10.3.33.187,80,80,TCP,3772,39123,458,438,91.31,3,1,3,monitor.local,1,Yes,USR-013,SSO,Success,1,java,14,Critical,Internal,OWNER-03,6.5,No,None,Normal,Normal,Normal,Normal,None,Normal,469.77329974811084,9.812725878874165,0.5,0.896,9,2.0,8.0
N-03-00005,2026-01-08T15:50:13,Telecom,DEPT-03,S03-DB01,S03-GW01,10.2.32.200,10.3.33.226,22,80,TCP,32361,69430,37,429,17.96,4,1,4,internal.gov.local,3,No,USR-062,Password,Success,0,svchost,12,Critical,Internal,OWNER-03,8.5,No,None,Normal,Normal,Normal,Normal,None,Normal,5667.650334075724,25.94654788418708,0.0,0.466,5,2.0,9.0
N-03-00006,2026-01-15T01:48:03,Telecom,DEPT-03,S03-APP01,S03-MON01,10.2.32.58,10.3.33.112,53,443,UDP,37960,7881,139,123,14.44,8,4,4,service.local,1,No,USR-053,SSO,Success,0,python,19,High,DMZ,OWNER-03,3.0,Yes,None,Normal,Normal,Normal,Normal,None,Normal,3174.584487534626,18.14404432132964,0.0,0.262,8,2.0,12.0
N-03-00007,2026-01-13T20:06:29,Telecom,DEPT-03,S03-BKP01,S03-GW01,10.2.32.71,10.3.33.159,53,443,TCP,10002,67213,114,20,61.62,8,5,3,monitor.local,4,No,USR-033,Password,Success,1,powershell,19,Critical,Internal,OWNER-03,2.5,No,None,Normal,Normal,Normal,Normal,None,Normal,1253.0834144758196,2.174618630314833,0.5,0.134,8,2.0,12.0
N-03-00008,2026-01-18T04:34:25,Telecom,DEPT-03,S03-BKP01,S03-CTRL01,10.2.32.139,10.3.33.177,53,80,UDP,16822,66027,97,241,1.56,1,5,4,internal.gov.local,3,No,USR-063,SSO,Success,2,powershell,0,Critical,Internal,OWNER-03,2.5,No,None,Normal,Normal,Normal,Normal,None,Normal,53108.33333333333,216.66666666666666,0.6666666666666666,0.338,9,2.0,13.0
N-03-00009,2026-01-20T17:19:48,Telecom,DEPT-03,S03-APP01,S03-WS01,10.2.32.207,10.3.33.242,80,53,UDP,10121,11714,35,337,45.88,2,3,1,service.local,5,No,USR-038,SSO,Success,1,python,20,High,DMZ,OWNER-03,3.0,Yes,None,Normal,Normal,Normal,Normal,None,Normal,475.9154315605928,8.108108108108107,0.5,0.372,4,2.0,8.0
