EVENT_ID,SECTOR,ATTACK_TYPE,CURRENT_ATTACK_STAGE,MITRE_TECHNIQUE,LABEL
N-01-00000,Government Data Centres,Normal,Normal,None,Normal
N-01-00001,Government Data Centres,Normal,Normal,None,Normal
N-01-00002,Government Data Centres,Normal,Normal,None,Normal
N-01-00003,Government Data Centres,Normal,Normal,None,Normal
N-01-00004,Government Data Centres,Normal,Normal,None,Normal
N-01-00005,Government Data Centres,Normal,Normal,None,Normal
N-01-00006,Government Data Centres,Normal,Normal,None,Normal
N-01-00007,Government Data Centres,Normal,Normal,None,Normal
N-01-00008,Government Data Centres,Normal,Normal,None,Normal
N-01-00009,Government Data Centres,Normal,Normal,None,Normal
N-01-00010,Government Data Centres,Normal,Normal,None,Normal
N-01-00011,Government Data Centres,Normal,Normal,None,Normal
N-01-00012,Government Data Centres,Normal,Normal,None,Normal
N-01-00013,Government Data Centres,Normal,Normal,None,Normal
N-01-00014,Government Data Centres,Normal,Normal,None,Normal
N-01-00015,Government Data Centres,Normal,Normal,None,Normal
N-01-00016,Government Data Centres,Normal,Normal,None,Normal
N-01-00017,Government Data Centres,Normal,Normal,None,Normal
N-01-00018,Government Data Centres,Normal,Normal,None,Normal
N-01-00019,Government Data Centres,Normal,Normal,None,Normal
N-01-00020,Government Data Centres,Normal,Normal,None,Normal
N-01-00021,Government Data Centres,Normal,Normal,None,Normal
N-01-00022,Government Data Centres,Normal,Normal,None,Normal
N-01-00023,Government Data Centres,Normal,Normal,None,Normal
N-01-00024,Government Data Centres,Normal,Normal,None,Normal
N-01-00025,Government Data Centres,Normal,Normal,None,Normal
N-01-00026,Government Data Centres,Normal,Normal,None,Normal
N-01-00027,Government Data Centres,Normal,Normal,None,Normal
N-01-00028,Government Data Centres,Normal,Normal,None,Normal
N-01-00029,Government Data Centres,Normal,Normal,None,Normal
N-01-00030,Government Data Centres,Normal,Normal,None,Normal
N-01-00031,Government Data Centres,Normal,Normal,None,Normal
N-01-00032,Government Data Centres,Normal,Normal,None,Normal
N-01-00033,Government Data Centres,Normal,Normal,None,Normal
N-01-00034,Government Data Centres,Normal,Normal,None,Normal
N-01-00035,Government Data Centres,Normal,Normal,None,Normal
N-01-00036,Government Data Centres,Normal,Normal,None,Normal
N-01-00037,Government Data Centres,Normal,Normal,None,Normal
N-01-00038,Government Data Centres,Normal,Normal,None,Normal
N-01-00039,Government Data Centres,Normal,Normal,None,Normal
N-01-00040,Government Data Centres,Normal,Normal,None,Normal
N-01-00041,Government Data Centres,Normal,Normal,None,Normal
N-01-00042,Government Data Centres,Normal,Normal,None,Normal
N-01-00043,Government Data Centres,Normal,Normal,None,Normal
N-01-00044,Government Data Centres,Normal,Normal,None,Normal
N-01-00045,Government Data Centres,Normal,Normal,None,Normal
N-01-00046,Government Data Centres,Normal,Normal,None,Normal
N-01-00047,Government Data Centres,Normal,Normal,None,Normal
N-01-00048,Government Data Centres,Normal,Normal,None,Normal
N-01-00049,Government Data Centres,Normal,Normal,None,Normal
N-01-00050,Government Data Centres,Normal,Normal,None,Normal
N-01-00051,Government Data Centres,Normal,Normal,None,Normal
N-01-00052,Government Data Centres,Normal,Normal,None,Normal
N-01-00053,Government Data Centres,Normal,Normal,None,Normal
N-01-00054,Government Data Centres,Normal,Normal,None,Normal
N-01-00055,Government Data Centres,Normal,Normal,None,Normal
N-01-00056,Government Data Centres,Normal,Normal,None,Normal
N-01-00057,Government Data Centres,Normal,Normal,None,Normal
N-01-00058,Government Data Centres,Normal,Normal,None,Normal
N-01-00059,Government Data Centres,Normal,Normal,None,Normal
N-01-00060,Government Data Centres,Normal,Normal,None,Normal
N-01-00061,Government Data Centres,Normal,Normal,None,Normal
N-01-00062,Government Data Centres,Normal,Normal,None,Normal
N-01-00063,Government Data Centres,Normal,Normal,None,Normal
N-01-00064,Government Data Centres,Normal,Normal,None,Normal
N-01-00065,Government Data Centres,Normal,Normal,None,Normal
N-01-00066,Government Data Centres,Normal,Normal,None,Normal
N-01-00067,Government Data Centres,Normal,Normal,None,Normal
N-01-00068,Government Data Centres,Normal,Normal,None,Normal
N-01-00069,Government Data Centres,Normal,Normal,None,Normal
N-01-00070,Government Data Centres,Normal,Normal,None,Normal
