TACTIC_ID,TACTIC,TECHNIQUE_ID,TECHNIQUE_NAME
TA0001,Initial Access,T1190,Exploit Public-Facing Application
TA0001,Initial Access,T1078,Valid Accounts
TA0002,Execution,T1059,Command and Scripting Interpreter
TA0003,Persistence,T1053,Scheduled Task/Job
TA0004,Privilege Escalation,T1068,Exploitation for Privilege Escalation
TA0006,Credential Access,T1110,Brute Force
TA0007,Discovery,T1046,Network Service Scanning
TA0007,Discovery,T1087,Account Discovery
TA0008,Lateral Movement,T1021,Remote Services
TA0009,Collection,T1005,Data from Local System
TA0011,Command and Control,T1071,Application Layer Protocol
TA0010,Exfiltration,T1041,Exfiltration Over C2 Channel
TA0040,Impact,T1486,Data Encrypted for Impact
TA0040,Impact,T1498,Network Denial of Service
