EVENT_ID,TIMESTAMP,SECTOR,DEPARTMENT,SOURCE_ASSET,DESTINATION_ASSET,SOURCE_IP,DESTINATION_IP,SOURCE_PORT,DESTINATION_PORT,PROTOCOL,BYTES_SENT,BYTES_RECEIVED,PACKETS_SENT,PACKETS_RECEIVED,FLOW_DURATION_SEC,CONNECTION_FREQUENCY,UNIQUE_DESTINATIONS,UNIQUE_PORTS,DNS_DOMAIN,DNS_FREQUENCY,DOMAIN_NOVELTY,USER_ID,AUTHENTICATION_TYPE,AUTHENTICATION_RESULT,FAILED_LOGIN_COUNT,PROCESS_NAME,FILE_ACTIVITY,ASSET_TYPE,ASSET_CRITICALITY,ASSET_ZONE,ASSET_OWNER,VULNERABILITY_SCORE,INTERNET_EXPOSURE,PREVIOUS_ATTACK_STAGE,CURRENT_ATTACK_STAGE,NEXT_ATTACK_STAGE,ATTACK_TYPE,MITRE_TECHNIQUE,LABEL,BYTES_PER_SEC,PACKETS_PER_SEC,AUTH_FAILURE_RATE,TRAFFIC_BURST_SCORE,TARGET_NOVELTY_SCORE,CRITICALITY_SCORE,BLAST_RADIUS_PROXY
N-06-00000,2026-01-05T13:55:44,Defence Networks,DEPT-06,S06-MON01,S06-MGMT01,10.2.62.236,10.3.63.125,8080,5432,UDP,9881,69536,278,291,116.26,2,3,4,auth.local,5,No,USR-020,Password,Success,1,java,13,High,Internal,OWNER-06,8.2,No,None,Normal,Normal,Normal,Normal,None,Normal,683.0982281094099,4.894202649234474,0.5,0.569,7,2.0,11.0
N-06-00001,2026-01-04T21:45:06,Defence Networks,DEPT-06,S06-GW01,S06-CTRL01,10.2.62.55,10.3.63.162,22,5432,TCP,11431,21469,354,236,14.64,1,4,3,monitor.local,4,No,USR-049,Certificate,Success,0,svchost,2,High,DMZ,OWNER-06,6.4,Yes,None,Normal,Normal,Normal,Normal,None,Normal,2247.2677595628415,40.30054644808743,0.0,0.59,7,2.0,11.0
N-06-00002,2026-01-06T06:05:10,Defence Networks,DEPT-06,S06-VPN01,S06-AUTH01,10.2.62.128,10.3.63.55,8080,5432,TCP,43125,61981,451,578,56.61,5,1,2,monitor.local,2,No,USR-064,SSO,Success,0,svchost,14,High,DMZ,OWNER-06,6.7,Yes,None,Normal,Normal,Normal,Normal,None,Normal,1856.6684331390213,18.177000529941708,0.0,1.029,3,2.0,7.0
N-06-00003,2026-01-03T18:51:19,Defence Networks,DEPT-06,S06-MGMT01,S06-MON01,10.2.62.148,10.3.63.175,443,22,UDP,35961,38413,189,138,13.71,3,5,3,auth.local,2,No,USR-035,Password,Success,0,svchost,5,Critical,Internal,OWNER-06,7.9,No,None,Normal,Normal,Normal,Normal,None,Normal,5424.799416484318,23.85120350109409,0.0,0.327,8,2.0,12.0
N-06-00004,2026-01-07T16:02:48,Defence Networks,DEPT-06,S06-APP01,S06-VPN01,10.2.62.138,10.3.63.136,443,5432,TCP,40248,50863,16,504,106.91,1,3,3,monitor.local,3,No,USR-015,SSO,Success,0,python,11,High,DMZ,OWNER-06,7.8,Yes,None,Normal,Normal,Normal,Normal,None,Normal,852.221494715181,4.863904218501544,0.0,0.52,6,2.0,10.0
N-06-00005,2026-01-02T21:29:39,Defence Networks,DEPT-06,S06-MON01,S06-DB01,10.2.62.162,10.3.63.107,8080,22,UDP,45399,2322,284,107,32.64,6,1,2,service.local,4,No,USR-065,SSO,Success,0,svchost,6,High,Internal,OWNER-06,8.2,No,None,Normal,Normal,Normal,Normal,None,Normal,1462.0404411764705,11.979166666666666,0.0,0.391,3,2.0,7.0
N-06-00006,2026-01-04T23:50:22,Defence Networks,DEPT-06,S06-MGMT01,S06-DB01,10.2.62.113,10.3.63.216,22,5432,TCP,44566,15644,226,217,111.51,1,5,1,internal.gov.local,5,No,USR-029,SSO,Success,1,python,0,Critical,Internal,OWNER-06,7.9,No,None,Normal,Normal,Normal,Normal,None,Normal,539.9515738498789,3.9727378710429555,0.5,0.443,6,2.0,10.0
N-06-00007,2026-01-10T18:00:39,Defence Networks,DEPT-06,S06-GW01,S06-WS01,10.2.62.246,10.3.63.25,22,22,UDP,9863,56388,30,163,52.31,7,1,3,internal.gov.local,5,No,USR-075,Password,Success,0,nginx,1,High,DMZ,OWNER-06,6.4,Yes,None,Normal,Normal,Normal,Normal,None,Normal,1266.507359969413,3.6895431083922765,0.0,0.193,4,2.0,8.0
N-06-00008,2026-01-19T14:57:54,Defence Networks,DEPT-06,S06-WS01,S06-DB01,10.2.62.66,10.3.63.119,22,53,UDP,40828,11731,499,221,11.25,4,5,1,service.local,5,Yes,USR-010,SSO,Success,2,python,0,Medium,Internal,OWNER-06,6.0,No,None,Normal,Normal,Normal,Normal,None,Normal,4671.9111111111115,64.0,0.6666666666666666,0.72,11,2.0,10.0
N-06-00009,2026-01-08T05:57:35,Defence Networks,DEPT-06,S06-CTRL01,S06-AUTH01,10.2.62.155,10.3.63.134,22,22,UDP,32505,40497,395,588,70.82,5,4,2,internal.gov.local,2,No,USR-039,SSO,Success,1,nginx,17,Critical,OT,OWNER-06,5.0,No,None,Normal,Normal,Normal,Normal,None,Normal,1030.810505506919,13.880259813611975,0.5,0.983,6,2.0,10.0
